ability	{'capacitate', 'capacitatea', 'aptitudine', 'destoinicie', 'iscusință', 'abilitate', 'potențial', 'pricepere', 'aptitudini', 'putință', 'iscusință_abilitate'}
stick	{'american_standard_code_for_information_interchange', 'bastonul', 'bastoane', 'americanstandardcodeforinformationinterchange', 'schimbator_scurt', 'piciorong', 'manșă', 'baston_de_poliție', 'împlânta', 'nedumeri', 'billy_clubului', 'înfige', 'spliff', 'rămâne', 'lăsaperplex', '|se|_lipi', 'transport_standard', 'reefer', 'lipi', 'schimbare_stick', 'puneînîncurcătură', 'fixa', 'sta', 'ascii', 'transmisiestandard', 'schimbare_băț', 'vârî', 'sincronizata', 'joystick-uri', '[se]_ține', '[se]_prinde', 'fimulat', 'stick-ul', 'înțepeni', 'nuia', 'joystick', 'toiag', 'converti', 'înfunda', 'comună', 'creangă', 'vargă', 'fialături', 'stick-ul_de_control', '[se]_bloca', 'adera', 'băț', 'marijuana_țigară', 'standard_de_transmitere', 'codul_american_standard_pentru_schimbul_de_informații', 'joint', '|se|_prinde', 'bastondecauciuc', 'billy_club', 'billystick', 'clapstick', 'găuri', 'perfora', 'baston', 'stick_de_control', 'stick_shift', 'joystick-ul'}
stone	{'isidorfeinsteinstone', 'oliver_stone', 'picul', 'pietre', 'piatrăprețioasă', 'piatră_preţioasă', 'clasificarea_rocilor', 'piatră_semiprețioasă', 'harlan_piatra', 'harlan_fiske_stone', 'pietre_semi-pretioase', 'semi-pretioase_piatra', 'lucy_stone', 'pietre_preţioase', 'lucystone', 'giuvaier', 'oliverstone', 'piatrăcioplită', 'piatra', 'pietre_scumpe', 'harlanfiskestone', 'sâmbure', 'bijuterii', 'nestemate', 'nestemată', 'harlan_f._piatra', 'edward_durell_piatra', 'roci', 'stană', 'rock', 'piatră_prețioasă', 'stâncă', 'endocarp', 'semi-pretioase', 'i._f._piatra', 'grigranit', 'isidor_feinstein_piatra', 'rocă', 'harlan_fisk_piatra', 'piatră', 'stone', 'edwarddurellstone', 'pietre_prețioase', 'gemă', 'pietre_pretioase', 'lapida', 'stone,_staffordshire'}
straight	{'heterosexuali_persoană', 'cruce', 'franc', 'deschis', 'desfășurat', 'sincer', 'desfăcut', 'heterosexualism', 'întins', 'curat', 'sec', 'consecutiv', 'heterosexualitate', 'heterosexualitatea', 'heterosexuali', 'direct_acasă', 'persoanăheterosexuală', 'imediat', 'fățiș', 'heterosexual', 'neocolit', 'heterosexuală', 'larând', 'normal', 'hetero', 'drept_persoană', 'bățos', 'direct', 'neted', 'dreaptă', 'cinstit', 'liniedreaptă', 'fest', 'onest', 'lins', 'aranjat', 'succesiv', 'corect', 'drept'}
student	{'librărie', 'elev', 'william_sealy_gosset', 'erudit', 'studentă', 'vivliopole', 'librar', 'savant', 'student', 'învățat', 'librării', 'bookman', 'educatee', 'cursant', 'științifică_persoană', 'cărturar', 'magazin_de_carte'}
stupid	{'neisprăvit', 'stupefiat', 'consternat', 'budinca_cap', 'neghiob', 'stupid', 'lent', 'uimit', 'neinteligent', 'prost', 'surprins', 'uluit', 'tâmpit', 'cretin', 'molâu', 'stupiditate', 'idiot', 'compresă', 'raven-symone', 'imbecil', 'pudden-cap', 'slabă_de_pește', 'încet', 'prost_persoană', 'prostia', 'nerod', 'perplex', 'prostie', 'tâmp'}
successful	{'desucces', 'succes', 'successful'}
suck	{'sugere', 'atrage', '[o]_luasus', 'aspirație', 'suge', 'luamuie', 'alăpta', 'supt', 'absorbi', 'trage', 'înghiți'}
sugar	{'zahăr', 'sugar', 'carbohidrați', 'glassheart', 'zaharuri', 'ochiul_dracului', 'zahăr_alb', 'carbohidrat', 'rafinat_zahăr', 'carbohidrati', 'glucide', 'zaharidă', 'zaharul', 'hidrocarbonat', 'moluște_comestibile', 'mălai', 'gelt', 'glucidă', 'hoge', 'niveluri_de_zahăr', 'para', 'chior', 'comerțul_cu_zahăr', 'zaharide', 'îndulcicuzahăr', 'îndulci', 'gologan', 'zaharuri_din_vin', 'scoici', 'carbohidraţi', 'dinero', 'simoleons', 'batman_forever', 'sicli', 'cub_de_zahăr'}
sun	{'jupiter', 'fix_stele', 'expunelasoare', 'seon', 'sun_kwon', 'lumina_soarelui', 'faceplajă', 'luminasoarelui', 'radiaţie_solară', 'lumina', 'dominicus', 'spectrului_solar', 'stelele_fixe', 'luna', 'marte', 'duminica', 'razădesoare', 'the_new_york_sun', 'venus', 'steaua_fixă', 'sun', 'soare', 'cun', 'radiația_solară', 'the_sun', 'sun-hwa_kwon', 'radiaţia_solară', 'sori', 'însori', 'duminică', 'sun_microsystems', 'mercur', 'shamash', 'soarele', 'radiație_solară', 'utug', 'sun_television', 'utu', 'ziua_domnului', 'spectrul_solar'}
suspect	{'acuzat', 'presupune', 'neîncrederea', 'suspiciune', 'robert_crais', 'suspecta', 'suspecți', 'bănui', 'învinuit', 'ciudat', 'neîncredere', 'inculpat', 'pârât', 'necurat', 'nuaveaîncredere', 'difidență', 'inculpat_penal', 'suspect', 'făptuitorul', 'bănuială'}
swell	{'[se]_intensifica', 'filfizon', 'umfla', 'magnapop', 'dandism', 'dude', '[se]_îmfumura', 'valuri', 'izvorî', 'rufe', 'dandi', '[se]_umfla', 'mișto', '[se]_infatua', 'dandysmul', 'dandy', 'crestless_val', 'swell', 'val', 'hulă', 'tare', '[se]_îngâmfa'}
swim	{'înot_competitiv', 'înotat', 'înot', 'locomoție_acvatică', 'pluti', 'ray_of_light', 'fiamețit', 'fimachit', 'natație', 'locomoție_acvatice', 'înota', 'înot_sportiv'}
table	{'tabula', 'placa_de_sunet', 'tabular_matrice', 'amâne', 'examen', 'tablou', 'relație', 'analizare', 'amâna', 'tabelul', 'table', 'întârzia', 'href', 'placăderezonanță', 'masa', 'cercetare', 'etichetă', 'investigare', 'tabel_de_bază_date', 'masă', 'tablă', 'etichetă_html', 'examinare', 'foaie_de_date', 'iframe', 'mesas', 'mesa', 'căutare', 'element_html', 'tabel'}
tail	{'ban', 'dos', 'dorsolateral', 'ordinea_bataie', 'pupă', 'sfârșit', 'caudală', 'tailender', 'ventral', 'listă', 'coada', 'pupa', 'după_ce_o_fracțiune', 'fese', 'pajură', 'caudal', 'coada-end', 'prat', 'keister', 'aboral', 'shadower', 'laterală', 'fund', 'spate_final', 'posteriorul', 'a_urmări', 'tush', 'regiunea_fesieră', 'ceea_ce_privește_anatomice_ale_locul_de_amplasare', 'popou', 'tooshie', 'bazale', 'liniei_medio-claviculare', 'schemădejoc', 'tail', 'cur', 'coada_de_asamblare', 'apical', 'în_spatele', 'posterior', 'bataie_comandă', 'ipsilateral', 'fesă', 'ventrolateral', 'contralateral', 'șezut', 'vâna', 'coada-ender', 'fugi', 'poponeț', 'plantara', 'coadă', 'ampenaj', 'chifle', 'dorsoventral', 'proximal', 'ciută_final', 'urmări', 'termeni_pentru_localizarea_anatomică'}
taste	{'încerca', 'degustare', 'simțulgustului', 'înclinație', 'gust_senzație', 'gustul_estetic', 'gust', 'predilecție', 'gustativ_modalitatea', 'simți', 'gustul_de_bază', 'gustativ_senzație', 'savoare', 'arome_artificiale', 'fiaromat', 'degusta', 'gustativ_percepția', 'aromă', '[se]_înfrupta', 'taste', 'gustare', 'simțul_gustului', 'aveagust', 'nowhere', 'aromă_artificială', 'degustare_de_vinuri', 'gust_de_bază', 'degustare_orb', 'arome_naturale', 'preferință', 'agent_aromatizant', 'gustativ', 'aroma', 'preferințele', 'percepția_gustului', 'gusta', 'potențiator_de_aromă', 'simț_al_gustului'}
team	{'grup', 'grup_muzical', 'grupul_rock', 'echipă', 'formaţie_muzicală', 'rock', 'echipa', 'formaţie', 'trupa_muzicala', 'proiect_solo', 'sportdeechipă', 'formaţii_muzicale', 'trupă', 'formație', 'trupa_pop', 'trupa_de_rock', 'formație_muzicală', 'ansamblu_muzical', 'ansamblu_instrumental', 'rock_trupa_pop', 'formaoechipă', 'atelaj', 'formații_muzicale', 'artist_solo', 'team', 'sport_de_echipă', 'echipa_de_sport'}
texture	{'calitate_a_țesăturii', 'textură', 'gustării', 'cartografiere', 'țesătură', 'textura_lor', 'macrotexturii', 'textura'}
that	{'thaat', 'that'}
there	{'încolo', 'acolo'}
they	{'lor', 'xe', 'they', 'numărul_atomic_54', 'xenon'}
thick	{'dens', 'prietenar', 'nedeslușit', 'gros', 'pretenar', 'des', 'mijloc', 'neclar', 'căpos', 'compact', 'îndesat', 'tenebros'}
thin	{'subția', '|se|_subția', '|se|_lungi', 'slab', 'subtire', 'rar', '[se]_subția', 'mic', 'slăbi', 'subțire', '|se|_îndoi', '|se|_dilua', 'îngust'}
think	{'gândurile', 'aveadegând', 'meditare', 'procesul_de_gândire', 'gândi', '[-și]_aminti', 'vrea', 'gândirea', 'crede', 'considera', 'aminti', 'aplicare', 'imagina', 'opina', '[se]_gândi', 'meditație', 'socoti', 'nu', 'rațiune', 'cugetare', '[-și]_imagina', 'imaginez', 'chibzui', 'presupune', 'cugeta', 'semnifica', 'fidepărere', 'intenționa', '[-și]_închipui', 'raționa', 'ști', 'cred_că', 'intenționează', 'think', 'decerebrare', 'cred', 'gândire', 'amintesc', 'indica'}
this	{'thinis', 'this,_ardennes', 'this'}
three	{'bob_sinclar', 'câștigător', 'ternion', '3', 'prong', 'three', 'succeeder', 'trigon', 'terzetto', 'trei', 'realizator', 'ternar', 'treiar', 'învingător', 'deuce-ace', 'terțet', 'santana_iii', 'iii', 'seventeen_seconds', 'croaziera', 'tv3'}
throw	{'accident_vascular_cerebral', 'cursei_de_evacuare', 'cuvertură', 'alămuri', 'au', 'dadrumul', 'azvârli', 'arunca_jonglerie', 'răcni', 'zbiera', '|se|_arunca', 'tulbura', 'arunca', '|se|_azvârli', 'trimite', 'urla', '|se|_zvârli', 'alamă_instrument', 'alamă', 'joc', 'scăpa', 'cam_accident_vascular_cerebral', 'instrumente_de_alamă', 'pasă', '[se]_dezbăra', 'instrument_de_suflat_din_alamă', 'porni', 'proiecta', 'zăpăci', 'instrument_de_alamă', '|se|_repezi', 'aruncare', 'aprinde', 'da', 'zvârli', 'tragere', '[se]_debarasa', 'năuci', 'azvârlire', 'exprimate', 'ține', 'cursei_de_compresiune', '[se]_descotorosi', 'zvârlire'}
tie	{'asociere', 'cravată', 'cravată_gât', 'terminalaegalitate', 'egalitate', 'stabili', 'traverse_de_cale_ferată', 'lega', 'asocia', 'legătură', 'faceegal', 'încătușa', 'conectării', 'stabiliolegatură', 'cravate', 'împerechea', 'traversă', 'gară_cravată', 'cravată_fascicul', 'uni', 'cununa', 'facelegătura', 'fereca', 'cravată_gară', 'înnoda', 'crosstie', 'cravata', 'afiliație', 'afiliere', 'sfoară', 'cravată-in-', 'împreuna', 'înlănțui', 'filegat', 'conecta', 'legato', 'asociație'}
time	{'time', 'in_my_own_words', '4/4', 'time,_norvegia', 'cronologia_big_bangului', 'pacific_ocean_blue', 'ciclu_de_ceas', 'intervalul_de_timp', '4/4_timp', 'anastacia', 'timp_simplu', 'încordat', 'hypnotica', 'revista_time', 'ora', 'oră', 'cronometra', 'potriviceasul', 'timp', 'xkcd_1190', 'duple', 'muzical_timp_semnării', 'polymeter', 'potrivi', 'timp_gramatical', 'planifica', '6/8_timp', "scatman's_world", 'semnături_de_timp', 'fracție', '2/4_timp', 'timp_vals', 'cicluri_de_ceas', 'sincroniza', 'prizonierat', 'ceasul_de_sistem', 'dată', 'metru_muzical', 'oară', 'timp_compus', 'universul_timpuriu', 'timp_semnării', 'patra_dimensiune', 'y_not', 'time_magazine', 'răstimp', 'bec', 'timpurilor', '12/8', 'vreme', 'ceas', 'metru', 'ceas_de_timp', 'impuls_de_ceas', 'semnal_de_ceas', 'închisoare_pe_termen', 'metru_compus', 'programa', 'smartstop'}
tongue	{'lingua', 'limba', 'vorbire', 'tongue', 'ieșindalțărmului', 'limbă_naturală', 'lengua', 'vorbă', 'limbi_naturale', 'limbă', 'glosolalia', 'limbii', 'glossolalia', 'glossa', 'limbaj_natural', 'glosolalie', 'carne_de_vită_limba', 'linge', 'limbaj', 'vorbirea_în_limbi', 'limbădepământ'}
tool	{'instrument_de_dezvoltare', 'tool', 'unealtă', 'instrument', 'pula', 'a_mobila', 'sculă', 'instrument_de_programare', 'pulă', 'instrumente_de_dezvoltare_software', 'instrumente', 'omdepaie', 'puță', 'marionetă', 'miel', 'păpușă', 'instrument_de_dezvoltare_software', 'instrument_software'}
tooth	{'dinte', 'dinti', 'dinte_uman', 'dinți', 'dinte_omenesc', 'colț'}
toy	{'[se]_juca', 'bibelou', 'miniatură', 'jucarie', 'jucărie_câine', 'jucarie_sexuala', 'jucărie', '|se|_juca', 'câinepitic', 'jucărie_de_pluș', 'yello', 'câinemic', 'câinedejucărie', 'toyline', 'jucarii_sexuale', 'toy', '|se|_distra', 'clasificarea_jucariilor', 'chatoyant', 'jucării', 'cățel', 'câine_jucărie', 'câinedebuzunar', 'chatoyancy', '|se|_amuza'}
tree	{'puiet', 'nodul_rădăcină', 'copac_rădăcini', 'nod_interior', 'copaci', 'pădure', 'băgalacolț', 'copac', 'arbore', 'nod_intern', 'diagrama_arbore', 'nod_frunză', 'nod_părinte', 'nodul_copil', 'încolți', 'nodul_părinte', 'lemn', 'herbert_beerbohm_tree', 'charlotte_brontë', 'subarbore', 'teorema_lui_kruskal_copac', 'sir_herbert_beerbohm_copac', 'tree', 'charlotte_bronte', 'copac_sacru', 'sirherbertbeerbohmtree', 'pom'}
trial	{'ternion', 'caz_juridic', '3', 'test', 'trigon', 'examen', 'numărul', 'terzetto', 'ternar', 'încercat', 'caz_judiciar', 'deuce-ace', 'experiment', 'plural', 'terțet', 'preliminarii', 'studiu_pe_termen', 'iii', 'cauzalitate', 'judecată', 'testare', 'încercare', 'pre-proces', 'cauză', 'proces_cauză', 'paucal', 'proces', 'sistemul_de_cauza', 'caz', 'procese', 'cauza', 'trei', 'numărul_acordului', 'causa', 'costum_lege', 'proces_civil', 'probă', 'număr', 'cauză_civilă', 'restriște', 'singular'}
tried	{'încercat', 'judecată', 'proces'}
turn	{'runda_unghi', 'întoarce', '[se]_duce', 'deveni', 'decorație', 'ornament', '[se]_preface', 'întorsătură', 'întoarcere', 'decorațiune', '[se]_întoarce', 'apogiatură', 'mecanica_de_joc', 'fermenta', 'punct_de_victorie', 'terminologie_wrestling', 'schimbaculoarea', 'învârtitură', 'ornamentarea', 'preface', '[se]_modifica', 'rând', 'învârti', 'modifica', 'coti', 'răsturna', '[se]_învârti', 'trigonometrie_rațională', 'rândul_său,_de_evenimente', '[se]_oțeti', 'strunji', 'ara', 'turn_rotund', 'rotire', 'turn', 'împlini', 'bine_rândul_său,', 'volta', '[se]_face', '[se]_schimba', 'virare', '[o]_lua', 'elemente_decorative', 'răsucire', 'appoggiatura', 'podoabă', '[se]_acri', 'faceapel', 'scrânti', 'strâmba', 'vira', '[se]_îndrepta', 'cotitură', 'dacolțul', 'acciaccatura', 'reveni', 'mecanică_de_joc', 'da', 'înfloritură', 'răsuci', 'schimb', 'cotire', 'tură', 'piruetă', 'serviciu', '[se]_transforma', 'ornament_muzical', 'număr', 'luxa', 'devenit', 'tur', 'cresc', 'suci', 'cifrădeafaceri', 'face', '[se]_roti', 'curbură', 'rulaj', '[se]_înăcri', 'rândul_său', 'perigon'}
two	{'câștigător', 'două', 'orteză', 'al_ii-lea', 'two', 'succeeder', '2', 'realizator', 'doi', 'învingător'}
typical	{'caracteristic', 'definitoriu', 'distinctiv', 'tipic'}
unaware	{'cunoștință', 'inconștient'}
usable	{'utilizabilitate', 'întrebuințabil', 'funcțional', 'folosibil', 'liber', 'utilizabil', 'ușurința__în_utilizare', 'aptitudine_de_utilizare', 'uzabilitate', 'folosibilitate', 'operațional', 'user-friendly', 'disponibil', 'ușurința_de_utilizare'}
useless	{'useless'}
vacation	{'vacanta', 'concediu', 'anulare', 'plecaînconcediu', 'mergeînvacanță', 'abrogație', 'vacanță', 'plecaînvacanță', 'abrogare', "national_lampoon's_vacation", 'golire', 'mergeînconcediu'}
vomit	{'vomitare', 'vomită', 'vomitus', 'vărsa', 'vărsare', 'regurgitare', 'nauseant', 'vomare', 'voma', 'vărsături', 'vomitiv', 'emetic', 'vomita', 'barf', 'vomă', 'disgorgement', 'borî', 'emeză'}
walk	{'merge', 'parcurge', 'străbate', 'mers_cal', 'plimba', '[o]_duce', 'modul_de_mers_pe_jos', 'bază_pe_bile', 'fi', 'nod_de_graf', 'graf', 'deplasare', 'mers', '[se]_plimba', 'mersul_pe_jos', 'plimbarepejos', 'glosar_de_teoria_grafurilor', 'grafic_simplu', 'paseo', 'walk', 'margine', 'călcătură', 'pasarelă', 'ordine', 'conduce', 'carieră', 'graf_neorientat', 'grafic', 'drumînviață', 'luaaer', 'promenadă', 'face', 'mergepejos', 'pas', 'pârtie', 'drum'}
war	{'război', 'limba_waray-waray', 'ares', 'conflict_armat', 'declararăzboi', 'starederăzboi', 'razboi', 'conflicte_armate', 'conflagrație_militară', 'the_war', 'războiul', 'luptă', 'răzbel', 'conflict_militar', 'războaie', 'conflict', 'winaray', 'stării_de_război', 'war', 'all_or_nothing'}
warm	{'pasional', 'încălzi', 'înfierbânta', 'cald', 'focos', 'excitabil', 'atent', 'tandru', 'înflăcărat', 'ardent', 'călduros', 'afectuos'}
wash	{'umezi', 'acoperi', 'rufă', 'spălătoreasă', 'washables', 'lost_dogs', 'scanare', 'curent_de_aer', 'wash', 'unearthed', '|se|_spăla', 'purtătoare', 'uda', 'spoială', 'uscat_se_spală', 'firmăcuprofitzero', 'spălătorie', 'a_spăla', 'jilăvi', 'spălătorie_chinez', 'arroyo', 'spălat', 'buried', 'spăla', 'erodare', 'eliminare', 'spală_desen', 'suflulelicei', 'spălare', 'the_wash', '|se|_curăța', 'scălda', 'suflu', 'rufărie', 'albieseacă', 'acuarelă', 'eroziune'}
water	{'apă', 'deseurile_de_azot', '[se]_înlăcrima', 'апэ', 'corp_de_apă', 'gheața', 'vaporideapă', 'apă_lichidă', 'resurselor_de_apă', 'mase_de__apă', 'sistem_de_apă_municipale', 'pişat', 'ciuguli', 'lăcrima', 'aprovizionare_cu_apă', 'blood_red_shoes', 'iriga', 'weewee', 'h2o', 'colț', 'corpuri_de_apă', 'alimentare_cu_apă', 'resursele_de_apă', 'vapori_de_apă', 'rezervor_de_apă', 'moleculă_de_apă', 'fenciclidină_clorhidrat', 'fenciclidină', 'gard_meniurile', 'adăpa', 'aprovizionarea_cu_apă', 'quoin', 'urină', 'resurse_de_apă', 'gheaţă', 'h₂o', 'înger_de_praf', 'pipi', 'gheață', 'distribuția_apei_potabile', 'apă_industrială', 'apa', 'vapori', 'water', 'ape', 'abur', 'urina', 'quoins', 'recoltarea_de_gheață'}
we	{'we', 'ヱ', 'polycephaly', 'wé', 'noi', 'ゑ', 'shinhwa', 'we_tv'}
weak	{'apos', 'aton', 'neaccentuat', 'vag', 'the_sea', 'slab', 'debil', 'slăbiciune', 'imperfect', 'astenie', 'lânced', 'atonic', 'nedesăvârșit', 'slăbiciune_musculară', 'subțiat', 'slăbit', 'decrepit', 'îndoit'}
wear	{'purta', 'sfârși', '[-și]_pune', 'extenua', 'vestimentație', 'pentru_femei', 'jibe', '[se]_facebucăți', 'vlăgui', 'rezista', '[se]_păstra', 'seca', 'ține', 'haină_veșmânt_articol_de_îmbrăcăminte', '[se]_ponosi', 'purtare', 'articole_de_îmbrăcăminte', 'veşmânt', 'veșmânt', 'uzură', 'haine', '[se]_fărâma', 'industria_de_îmbrăcăminte', 'avea', '[-și]_lua', 'secătui', 'epuiza', 'istovi', 'wear', 'stoarce', 'ușor_de_purtat', 'vestimentaţie', 'tinuta', 'slei', 'îmbrăcăminte', 'haină', 'rezistenta_la_uzura', '[se]_îmbrăca', 'rufe', 'articol_de_imbracaminte', 'strai'}
weather	{'brava', 'condițiile_meteorologice', 'vremeaprobabilă', 'prognoză_meteo', 'înfrunta', 'vremea_vremea', 'prognozămeteorologică', 'atmosferică_condiție', 'timp', 'prognoza_meteo', 'vreme', 'meteo', 'veniînvânt', 'desfide', 'vremea', 'vremea_condiție'}
wet	{'înger_de_praf', 'umezi', 'ora_europei_occidentale', 'wet', 'beatmort', 'ud', 'înmuia', 'western_european_time', 'fenciclidină_clorhidrat', 'fenciclidină', 'uda', 'umecta', 'umed', 'umezeală', 'turmentat', 'beatcriță', 'umedă', 'jilăvi', 'umiditate'}
what	set()
when	{'diamonds_for_breakfast'}
where	{'unde', 'încotro'}
white	{'andrew_d._alb', 'albuș', 'din_asia', 'trei_culori:_alb', 'încărunțit', 'negru', 'rasa_albă', 'albi', 'aldin', 'blanc', 'alb_cursă', 'edward_white', 'patrickvictormartindalewhite', 'planeswalker', 'white', 'alb-', 'andrew_dickson_white', 'alb-ivoriu', 'edward_douglas_white_jr.', 'latino', 'albii', 'steven_pelé', 'culoarea_pielii_umane', 'oameni_albi', 'caucazian_cursă', 'alb_persoană', 'oamenii_albi', 't._h._white', 'whiteriver', 'alburiu', 'înălbi', 'tonul_pielii', 'albeață', 'andrewd.white', 'off-alb', 'fildeșiu', 'palid', 'caucazieni', 'stanford_white', 'patrickwhite', 'rasa_europeană', 'albuș_de_ou', 'rasa_caucaziană', 'albi-', 'albușuri_de_ou', 'elwynbrookswhite', 'frumos', 'alb', 'theodore_harold_alb', 'white_river', 'trois_couleurs:_blanc', 'hispanic', 'rasa_europoidă', 'andrewdicksonwhite', 'e.b.white', 'patrick_victor_martindale_alb', 'caucasoid', 'ovalbumină', 'alte_rase', 'albit', 'patrick_white', 'robert_pelé', 'elwyn_brooks_alb', 'cărunt', 'andrew_dickson_white,', 'pal', 'albitate', 'caucasoid_cursă', 'ten', 'ivoriu', 'steven_robert_pelé', 'albe', 'pigmentare_a_pielii', 'steven_robert_pele', 'steven_pele', 'e._b._white', 'white_airways', 'e._b._alb', 'fildeș', 'albiciune', 'ovalbumina', 'rasa_eurasiatică', 'pieris', 'caucazian', 'edward_d._alb', 'culoarea_pielii'}
who	{'o.m.s.', 'world_health_organization', 'organizația_mondială_a_sănătății', 'oms', 'the_who', 'who', 'jim_neidhart', 'organizaţia_mondială_a_sănătăţii'}
wide	{'mare', 'imprecis', 'întins', 'razna', 'zgâit', 'ratat', 'atotcuprinzător', 'lat', 'largă', 'depărtat', 'extins', 'cuprinzător', 'larg', 'holbat', 'sporit', 'vast', 'căscat'}
wife	{'neveste', 'soţie', 'soție', 'nevastă', 'soția', 'femeie_căsătorită'}
willingly	{'debunăvoie'}
wind	{'wind_hellas', 'pont', 'facemeandre', 'bobina_electromagnetica', 'adiere', 'întoarcere', 'curba', 'membru_potenţial', 'suflare', 'clopot', 'rupere_vânt', 'wind', 'flatus', 'vânt', 'rafale_de_vânt', 'suflător', 'aer', 'sălta', 'fixa', 'cuvinte_inactiv', 'văzduh', 'client_potențial', 'adulmeca', 'wiatr', 'lichidare', 'instrumentdesuflat', 'ridica', 'instrument_de_suflat', 'mirosi', 'bobinaj', 'wind_river_systems', 'curent_de_aer', 'urca', 'simți', 'vorbegoale', 'farting', 'akeboshi', 'dinamica_atmosferei', 'înfășura', 'răsuci', 'informații_confidențiale', 'malarky', 'gaz', 'vorbărie', 'băși', 'undă', 'răsuflare', 'suflu', 'prinde', 'pârț', 'instrumente_de_suflat', 'vant', 'șerpui', 'malarkey'}
wing	{'aripaavionului', 'flyhalf', 'culisă', 'în_culise', 'primele_cinci-opt', 'fly-jumătate', 'paza-forward', 'plana', 'a_propunerii_înainte', 'zbor_insecte', 'flanc', 'spoiler', 'pluti', 'anexă', 'poziții_de_joc_la_rugby_în_xiii', 'gone_again', 'eleron', 'aripă_de_treisferturi', 'annexe', 'aripă', 'interior_centru', 'adiacente', 'aripa', 'planere', 'zbura', 'roata_precum', 'aripioară', 'regimentdeaviație', 'swingman', 'afara_scenei', 'mijlocaș', 'manevră_de_însoțire', 'hindwing', 'poziție_de_joc_la_rugby_în_xv', 'wing'}
wipe	{'șteargă', 'șterge', 'frecuș', 'ștergeți', 'ștergere'}
with	set()
woman	{'partefemeiască', 'curățare_doamnă', 'doamnă', 'femeie', 'femelă', 'charlady', 'servitoare', 'woman', 'femeia', 'klaatu', 'curățare_femeie', 'harry_styles', 'adult_de_sex_feminin', 'sex_feminin', 'muiere', 'cameristă', 'femeiedeserviciu', 'femela', 'echitabil_sex', 'nancy_benoit', 'femei', 'slujnică'}
word	{'bibliei_creștine', 'text_religios', 'bibliolatrie', 'dezbatere', 'bine_rezervă', 'sfânta_scriptură', 'fiul', 'parolă', 'discuții', 'vorbă', 'fii', 'dimensiunea_cuvânt', 'scripturile', 'veste', 'fiu', 'biblie', 'biblic', 'formula', 'angajament', 'cuvinte', 'ms_word', 'biblia', 'cuvânt', 'știre', 'scripturile_creștine', 'parola', 'biblia_creștină', 'cuvînt', 'textele_sacre', 'termen', 'discuție', 'biblii', 'scriptură', 'cuvintele', 'cuvântdeonoare', 'logos', 'cod_de_acces', 'lungimea_cuvântului', 'biblice', 'informație', 'exprima', 'formulă', 'sfanta_scriptura', 'sfântă_scriptură', 'parole', 'cuvant', 'daglas', 'cuvânt_de_date', 'texte_religioase', 'textul_sacru', 'microsoft_word', 'discutare', 'cartea_sfântă', 'cuvânt_de_onoare'}
worm	{'nimeni', 'pocket_tanks', 'murdărie_mingea', 'worm', 'viermi', 'viermii', 'suci', 'vierme', 'răsuci', 'loază', 'nimic', 'contorsiona'}
year	{'anastronomic', 'an', 'ma', 'annum', 'epocă', 'eră', 'tropicale_ani', 'anul_tropical_mediu', 'astronomic_ani', 'an_astronomic', 'timpîndelungat', 'douăsprezece_luni', 'anul_tropical', 'serie', 'an_terestru', 'anul_solar', 'lungă_perioadă_de_timp', 'anplanetar', 'an_tropic', 'veșnicie', 'lungă_de_timp', 'leat', 'promoție', 'ansolar', 'an_solar', 'solară_ani', 'equinoctial_ani', 'ani', 'anomalistic_ani', 'anul_gregorian'}
yellow	{'huanho', 'gălbiu', 'gălbenatic', 'huang_he', 'gălbui', 'hong_jin-ho', 'fluviulgalben', 'eiko_shimamiya', 'sperios', 'zebrahead', 'îngălbeni', 'blondă', 'blond', 'fluviul_galben', 'fricos', 'gălbeniu', 'mișel', 'laș', 'galben', 'yellow', 'hwang_ho', 'îngălbenit', 'huanghe', 'blonda', 'păr_blond', 'gălbeneală'}
you	{'lurgee', 'prove_yourself', 'thinking_about_you', 'how_do_you?', 'amy_lee', 'you', 'monster', 'janne_da_arc', 'pablo_honey', 'vegetable', 'fly', 'tu', "i_can't", 'thou', 'the_mail_on_sunday', 'no_control', 'al_tău,_a_ta,_ai_tăi,_ale_tale', 'the_real_testament'}
