ability	{'aptitude', 'förmåga'}
star	{'media_personlighet', 'blå_eftersläntrare', '✴', 'tillväxt-aktien_matris', 'the_rise_and_fall_of_ziggy_stardust_and_the_spiders_from_mars', 'stjärnutveckling', 'ledande_skådespelerska', 'xerox_star', 'b-kändis', 'estelle', '✫', 'starring', 'stjärnor', '☆', 'känd_person', 'superstar', 'stjärnnät', 'fem-stjärnigt_hotell', 'air', 'tar', 'maven', '✹', '✷', 'hotshot', '✬', 'wiz', 'superstjärna', 'stjärnan', '*', 'tv-personlighet', 'vina', 'asterisk', 'star', 'headliner', 'celebritet', 'bcg-matrisen', 'c-kändis', 'lyxhotell', 'filmstjärna', 'adept', '✵', 'mästerskapsstjärna', 'stjärngraf', 'ledande_aktör', '✪', 'gucy2c', 'blå_eftersläntrar', 'steroidogena_akut_regulatoriskt_protein', 'swift_wind', 'lista_över_air-avsnitt', 'kändis', 'stjärnformat_datanät', '✭', 'popstjärna', '✯', '★', 'ilean_almaguer', 'stjärntopologi', 'tarball', 'känd', '✮', 'stjärnorna', 'mavin', 'äss', '✩', 'stjärna', '✶', '✸', 'starbåt', 'tar.gz', 'star,_idaho', 'stjärnklassificering', 'stjärna_polygon', 'tjära', 'filmstjärnor', '✰', 'd-kändis', 'klassificering_av_hotell', 'mulle', 'kändisar', '∗'}
stick	{'gummiklubban', 'joysticks', 'teleskopbatong', 'stav', 'batong', 'pinne_skift', 'ascii', 'standardväxellåda', 'stick_skift', 'stanna', 'joint', 'spliff', 'clapstick', 'gemensam', 'expanderbar_batong', 'stör', 'marijuanacigarett', 'american_standard_code_for_information_interchange', 'binära_alfabetet', 'synkronisering', 'slut_på_överfört_block', 'manuell_växellåda', 'gren', 'billystick', 'käpp', 'end_of_transmission_block', 'promenadkäppar', 'blydagg', 'binda', 'joystick', 'fjäderbatong', 'styrspak', 'joppe', 'expanderbatong', 'spak', 'billy_club', 'spetsa', 'minnet', 'gummiklubba', 'blydaggar', 'kort_shifter', 'polis_batong', 'kvist', 'styrspaken', 'reefer', 'pinne', 'jolle'}
stone	{'isidor_feinstein_stone', 'edward_durell_sten', 'stenmeteorit', 'grovsten', 'gångbergart', 'picul', 'stone,_i.f.', 'kärna', 'bergarter', 'bli', 'iskander-m-robotar', 'oliver_stone', 'ytbergart', 'halvädelstenar', 'mafisk', 'old_stone', 'edward_durell_stone', 'stenblock', 'pikul', 'stenar', 'bergart', 'ädelsten', 'stone,_harlan_fiske', 'berg', 'stone,_staffordshire', 'henry_stone', 'halvädelsten', 'harlan_sten', 'sten', 'kärna_ur', 'endokarpen', '9k720_iskander', 'i.f._stone', 'isidor_feinstein_sten', 'djupbergart', 'harlan_f._sten', 'endokarp', 'harlan_fiske_stone', 'juveler', 'lucy_sten', 'stenad', 'ss-26_stone', 'rock', 'stone', 'lucy_stone', 'harlan_fisk_sten', 'felsisk', 'ädelstenar', 'juvel', 'klippblock', 'urkärna', 'mellansten', 'i._f._sten'}
straight	{'fyrkantig', 'stege', 'heterosexuell', '⚤', 'rakt', 'genast', 'heterosexualitet', 'hetrosexualitet', 'rak_person_som', 'heterosexualism', 'heterosexuella', 'raka', 'direkt', 'hetrosexuell', 'rak', 'hetero', 'rät', 'på_upploppet', 'rakt_fram'}
student	{'universitetsstudier', 'vetenskapsman', 'vetenskaplig_personen', 'christ_church_college,_oxford', 'william_sealey_gosset', 'studentska', 'boklåda', 'educatee', 'bookselling', 'studietid', 'forskare', 'bookman', 'bokhandlande', 'student', 'elev', 'bokhandel', 'studerade', 'studera', 'studerande', 'christ_church,_oxford', 'bokhandeln', 'william_sealy_gosset', 'stundent', 'studerat', 'christ_church_college', 'första_år', 'gosset,_william_sealy', 'bokhandlare', 'studier', 'studenterna', 'studenter', 'gosset', 'christ_church', 'bokhandlar'}
stupid	{'raven-symone', 'pillock', 'meningslös', 'dum', 'stupe', 'dumhuvud', 'dolt', 'tönt', 'omtöcknad', 'idiot', 'pudden-huvud', 'dumbom', 'stackars_sate', 'dum_person', 'dumhet', 'dumma'}
successful	{'framgångsrika', 'framgångsrik', 'successful', 'lyckad'}
suck	{'suck', 'sugreflex', 'sug', 'suck:_the_movie', 'stand_up_comedy_klubben', 'suga', 'amma', 'sugning', 'norra_brunn_comedy', 'suger', 'sugande', 'stand_up_comedy_club'}
sugar	{'moolah', 'sockerbitar', 'pelf', 'syltsocker', 'gelt', 'dinero', 'sackarid', 'sugar_-_i_hetaste_laget', 'sockerhandeln', 'glassheart', 'siklar', 'karbonylkol', 'batman_forever', 'simdaler', 'kolydrat', 'socker', 'kolhydratuppladda', 'musslor', 'socker_nivåer', 'sockra', 'vitt_socker', 'sockerbit', 'deg', 'kolhydrat', 'råsocker', 'bitsocker', 'sugar', 'raffinerat_socker', 'socker_i_vinet', 'kolhydrater', 'sugar_e.p.'}
sun	{'soltecken', 'solen', 'solstrålning', 'solljuset', 'mars', 'solstråle', 'solljus', 'sun', 'herrens_dag', 'utug', 'fasta_stjärnor', 'the_sun', 'söndagar', 'solbada', 'sola', 'sigrid_raabe', 'sun_microsystem', 'page_3', 'fixstjärnor', 'fixstjärna', 'söndagen', 'söndag', 'cun', 'seon', 'solstrålar', 'fixstjärnorna', 'sun_television', 'sol', 'sigrid_solbakk_raabe', 'utu', 'månen', 'sun_kwon', 'sigrid', 'solens_spektrum', 'solsken', 'solfysik', 'solstrålen', 'jupiter', 'sun_microsystems', 'venus', 'dominicus'}
suspect	{'misstänka', 'robert_crais', 'misstro', 'misstänkta', 'anklagad', 'svarande', 'förövaren', 'kriminell_svarande', 'misstänkt', 'misstanke', 'svaranden', 'misstänksamhet'}
swell	{'dandy', 'dandies', 'dude', 'dandyn', 'swell', 'magnapop', 'dandyism', 'clotheshorse', 'svall', 'svullna', 'fop', 'dyning', 'crestless_våg'}
swim	{'simtur', 'nothing_really_matters', 'simning', 'simma', 'flyta', 'the_power_of_good-bye', 'ray_of_light', 'tävlingssimning'}
table	{'träbord', 'platåberg', 'html-element', 'ljudkort', 'iframe', 'slagbord', 'tabellform', 'lookup', 'minoritetsbordläggning', 'relation', 'taffelberg', 'mesa', 'uppslagstabell', 'högplatån', 'html-tagg', 'skjuta_upp', 'mesas', 'sökning', 'tabeller', 'bordläggning', 'bordlägga', 'klangbotten', 'bord', 'tabellform_array', 'senarelägga', 'resonansbotten', 'datablad', 'tagg', 'soundboard', 'bordet', 'href', 'tabell', 'databastabell'}
tail	{'svansen_slut', 'röven', 'laterala', 'öppning_slagman', 'stjärt', 'akterkastell', 'rump', 'akteröver', 'rumpor', 'rumpa', 'akterskepp', 'basala', 'dorsolaterala', 'arsle', 'akterkant', 'kontralaterala', 'villkor_för_anatomisk_plats', 'röv', 'ändalykten', 'stjärtar', 'poop', 'ändalykt', 'akterpikskott', 'efter_del', 'anatomiska_gäller_läge', 'arsel', 'aktern', 'posteriort', 'dorsoventral', 'häck', 'bakdelen', 'skinkorna', 'akterspegel', 'bakom', 'mellersta_ordning', 'bakre', 'bakre_ände', 'ventrolaterala', 'tush', 'apikala', 'proximala', 'tail', 'aboral', 'bottenaggregatet', 'akterlig', 'bullar', 'svans-ender', 'bak', 'akterstagad', 'akterut', 'sätesregion', 'svans_slut', 'jaga', 'akterspring', 'tailender', 'arslet', 'glutealregionen', 'svansrot', 'förfölja', 'kaudalt', 'ventrala', 'akter', 'gump', 'rumpan', 'tails', 'svansen', 'akterroddare', 'tooshie', 'svans', 'nater', 'bakdel', 'empennage', 'ända', 'keister', 'distala', 'ipsilaterala', 'vadd_ordning', 'prat', 'bakstam', 'kupera', 'klave', 'stuss', 'akterlanterna', 'rompa', 'shadower', 'medioklavikularlinjen', 'kaudala', 'stjärten', 'plantar', 'skinkor'}
taste	{'smakerna', 'arom', 'smak_modalitet', 'böjelse', 'savor', 'gustation', 'artificiella_smakämnen', 'smakupplevelsen', 'tendens', 'smaksinne', 'surt', 'grundläggande_smak', 'grundsmak', 'naturliga_smakämnen', 'blindprovning', 'smak', 'smaka', 'nowhere', 'smakbit', 'vinprovning', 'taste', 'beskt', 'smaken', 'sur', 'smakupplevelse', 'preferenser', 'sälta', 'försmak', 'smakförstärkare', 'njuta', 'prova', 'smakämne', 'vinprovare', 'förkärlek', 'smak_sensation', 'provsmaka', 'smakprov', 'smak_uppfattning'}
team	{'sportlag', 'musik_ensemble', 'pop_rockband', 'pop_rock_band', 'team', 'musikgrupp', 'musikalisk_band', 'soloartist', 'lag', 'laget', 'rockband', 'antal_spelare', 'popband', 'lagsport', 'lagsporter', 'musikalisk_ensemble', 'lagidrott', 'grupp', 'arbetslag', 'musik_band', 'arbetsgrupp', 'stall_qualifier', 'musikband', 'idrottslag', 'soloprojekt', 'bar_band', 'rockgruppen'}
texture	{'konsistens', 'musikalisk_struktur', 'faktur', 'munkänsla', 'känsla_i_munnen', 'granulär', 'textur', 'struktur', 'konsistens_karta', 'makrotextur', 'texturmappning', 'texturering', 'mouthfeel'}
that	{'that', 'så', 'thaat', 'det_där'}
there	{'dit_där', 'there', 'makena_technologies', 'där', 'dit', 'det'}
they	{'könsspecifika_pronomen', 'könslösa_pronomen', 'xe', 'atomnummer_54', 'könsneutralt_personligt_pronomen', 'könsneutrala_personliga_pronomen', 'h*n', 'könsneutrala_pronomina', 'xenongas', 'xenon', 'they', 'könsneutrala_pronomen', 'hen', 'hän', 'könsneutralt_pronomen', 'hin'}
thick	{'grov', 'mitt', 'tjock', 'trög'}
thin	{'smal', 'tunna', 'spä', 'tunn', 'slank'}
think	{'komma_ihåg', 'minnas', 'tankeprocess', 'tankar', 'antar_att', 'menar', 'mena', 'fundera_över', 'hjärnarbete', 'överväga', 'think_city', 'fundera', 'anse', 'tänker', 'tanke', 'dra_sig_till_minnes', 'tänkande', 'planera', 'minns', 'pivco', 'tror', 'tankeverksamhet', 'think', 'tänka_på', 'tänka', 'ämna', 'erinra_sig', 'fundera_på', 'avse', 'förandet', 'tycka', 'tänka_över', 'think_nordic'}
this	{'this,_ardennes', 'mig', 'this', 'thinis', 'detta'}
three	{'iii', 'rock_the_boat', 'succeeder', 'christophe_lefriant', 'tercet', 'ⅲ', 'terzetto', 'sinclar,_bob', '3', 'trine', 'ternära', 'tre', 'tredje', 'achiever', 'prong', 'deuce-ace', 'trea', 'sinclar', 'seventeen_seconds', 'personlighetsenneagrammet', 'bob_sinclair', 'three', 'mt._egypt', 'bob_sinclar', 'santana_iii', 'ternion'}
throw	{'ge', 'håller', 'mässing_instrument', 'mässinginstrument', 'bleckblås', 'kompressionsslaget', 'har', 'brassinstrument', 'kasta', 'mässing', 'kasta_jonglering', 'välta', 'mässingblåsinstrument', 'stroke', 'cam_stroke', 'bläckblåsinstrument', 'bleckblåsinstrument', 'mässingsinstrument', 'throw', 'projicera', 'lista_över_tillverkare_av_bleckblåsinstrument', 'förvirra', 'slaglängd', 'tippa'}
tie	{'slipsar', 'anknytning', 'sliper', 'tie-in', 'binda', 'betongplattor_spår', 'viga', 'oavgjort_resultat', 'syll', 'bindebåge', 'linkup', 'oavgjord_match', 'länka', 'förbinda', 'windsorknut', 'järnvägen_band', 'länk', 'slipers', 'slips_balk', 'förena_i_äktenskap', 'koppla', 'järnvägen_slips', 'slips', 'spela_oavgjort', 'associera', 'crosstie', 'slipsknutar', 'oavgjord', 'knyta', 'oavgjort', 'gifta', 'järnväg_sovvagn', 'tippi_airport', 'slipsknut', 'tie_beam', 'ansluta', 'relatera'}
time	{'tidskoordinat', 'klocka', 'pacific_ocean_blue', 'ta_tid', 'vals_tid', 'enkla_tid', 'ta', 'tiden_t', '4/4_takt', 'universums_historia', 'sekvens_av_händelser', 'taktart', 'klockcykel', 'tider', 'tidsram', "scatman's_world", 'fängelse', 'kabel_release', 'y_not', 'time_kommun', 'in_my_own_words', 'kosmologiska_tid', 'spänd', 'tempus', 'taktarter', 'fjärde_dimension', 'förening_tid', 'mätare', 'time-magazine', 'kosmologins_tidslinje', 'the_klinik', 'klockfrekvens', 'tiden', '6/8_tid', 'tidsrymd', 'klinik', 'musikalisk_taktart', 'klockcykler', 'time', 'tidiga_universum', 'tidpunkt', '2/4_tid', 'klockpuls', 'tid', 'hypnotica', 'smartstop', 'på', 'klocksignal', 'dubbel', 'time_magazine', 'polymeter', 'planckepoken', 'systemklockan', 'anastacia', '12/8', 'xkcd_1190', '4/4', 'klocktid', 'gång'}
tongue	{'naturliga_språk', 'tungomålstalande', 'mål', 'tungotal', 'plös', 'tongue', 'tungomål', 'kläpp', 'nötkött_tungan', 'tungan', 'tala_i_tungor', 'tunga', 'lingua', 'tungor', 'tungomålstal', 'glossolali', 'glossa', 'lengua', 'naturligt_språk'}
tool	{'balle', 'pitt', 'tool', 'mjukvaruutveckling_verktyg', 'kuk', 'marionett', 'verktyg_för_programvaruutveckling', 'lakrymologi', 'marionett-_marionettregering_marionettstat', 'programmeringsverktyg', 'lachrymology', 'verktyg'}
tooth	{'tooth,_the', 'tooth', 'ilningar_i_tänderna', 'tand', 'tandkrona', 'retinerad_tand', 'tänder', 'tandsmycke', 'tandemalj'}
toy	{'le_jouet', 'leksak', 'toy', 'chatoyancy', 'sexuella_hjälpmedel', 'teacup', 'knähund', 'sexleksaker', 'chatoyant', 'leksaker', 'yello', 'kattögoneffekt', 'dvärghund', 'sexleksak', 'leksak_hund', 'oh_yeah', 'knähundar', 'leka', 'sexhjälpmedel', 'toyline'}
tree	{'förälder_nod', 'bronte', 'rotnoden', 'trädkult', 'trädstruktur', 'sir_herbert_beerbohm_tree', 'sly', 'skog', 'träd_dyrkan', 'lövnod', 'barn_nod', 'träd_datastruktur', 'charlotte_bronte', 'träddiagram', 'kruskal_s_träd_sats', 'uppspännande_träd', 'underträd', 'currer_bell', 'trä', 'kruskal_s_träd_teorem', 'höga_träd', 'planta', 'stam', 'rotat_träd', 'intern_nod', 'palmtyp', 'inre_nod', 'tree,_herbert_beerbohm', 'tree', 'ektyp', 'grantyp', 'rotade_träd', 'charlotte_brontë', 'herbert_beerbohm_tree', 'heliga_träd', 'trädstam', 'överordnad_nod', 'bronte,_charlotte', 'träd', 'märkt_träd'}
trial	{'process', '3', 'stämde', 'kausalitet', 'före_rättegång', 'tredje', 'orsakssamband', 'massrättegång', 'prövning', 'rättegång', 'provkörning', 'juridiskt_fall', 'stämning', 'lista_över_fotbollstermer', 'rättegångar', 'prov-', 'tercet', 'numerus', 'kausalitetsprincipen', 'kausala', 'antalsform', 'tre', 'före_rättegången', 'överstegsfint', 'tvist', 'causa', 'ental', 'stämningsansökan', 'nummer', 'mål', 'rannsakning', 'brottmål', 'ansökan_om_stämning', 'rättegångsordning', 'test-', 'försök', 'ternion', 'nummer_avtal', 'iii', 'stämningar', 'tåfjutt', 'provisorisk', 'försökte', 'ⅲ', 'terzetto', 'rättsfall', 'fall', 'trialis', 'ternära', 'grammatisk_nummer', 'tretal', 'rättegången', 'verkan', 'singularis', 'vedermöda', 'lobb', 'stämningsansökning', 'paucal', 'prov', 'kausal', 'orsaken_systemet', 'orsak', 'civil_domstol', 'trine', 'tillfällig', 'experiment', 'deuce-ace', 'tvistemål', 'test', 'kausal_sekvens'}
tried	{'mål', 'försökte', 'rannsakning', 'process', 'rättegång', 'brottmål', 'experiment', 'rättegångsordning', 'försök', 'rättegången', 'massrättegång', 'prov', 'rättegångar'}
turn	{'prydnadsnoter', 'segern_punkt', 'varv', 'vändning', 'gira', 'bli', 'nåd_notera', 'krök', 'rund_vinkel', 'longhanded', 'svarva', 'vrida_sig', 'svänga', 'böja', 'golfrunda', 'konstnärliga_ornament', 'konstnärligt_ornament', 'vända', 'snurra', 'utsmyckning', 'spel_mekaniker', 'volta', 'prydnadston', 'lista_över_pokeruttryck', 'prydnad', 'rund_sväng', 'pokeruttryck', 'check', 'återställa', 'prydnadsnot', 'bad_beat', 'main_event', 'piruett', 'heads-up', 'pokertermer', 'checka', 'tur', 'vända_sig', 'perigon', 'appoggiatura', 'spelläge', 'spelmekanik', 'ornament', 'all-in', 'lista_över_pokertermer', 'pokerjargong', 'blir', 'utdragning', 'bra_sväng', 'designutsmyckningar', 'all_in', 'runda', 'acciaccatura', 'vrida', 'rationell_trigonometri'}
two	{'kvadratroten_ur_fyra', 'ii', 'succeeder', 'ⅱ', 'personlighetsenneagrammet', 'achiever', 'jim_cartwright', 'två', 'roten_ur_4', 'tvåa', 'roten_ur_fyra', 'stag', '2wo', '2', 'two', 'kvadratroten_ur_4', 'voyeurs'}
typical	{'typisk', 'typiska'}
unaware	{'omedvetna', 'omedveten'}
usable	{'bruklig', 'användbarhet', 'fungerande', 'användbar', 'användarvänlighet', 'användarvänlig'}
useless	{'värdelös', 'useless'}
vacation	{'lov', 'vacation', 'tjänstledig', 'ett_päron_till_farsa:_nästa_generation', 'ferie', 'semestra', 'tjänstledigt', 'ledighet', 'tjänstledighet', 'semester'}
vomit	{'kräks', 'uppkastning', 'kräkningen', 'vomitive', 'kräkmedel', 'vomera', 'kasta_upp', 'kräkreflex', 'spya', 'barf', 'kräkning', 'emetisk', 'kräkreflexer', 'spy', 'nauseant', 'kräkas', 'kräkningar', 'emes', 'kräk', 'disgorgement', 'vomering', 'uppstötningar', 'lägga_en_pizza'}
walk	{'gå_ut_och_gå', 'sätt_gå', 'walk,_estland', 'gångvägar', 'graf', 'kant', 'ordning', 'walk,_livland', 'flygande_pass', 'bas_på_bollar', 'promenad', 'hästen_gång', 'promenad_i_livet', 'gångarter', 'glosbok_över_grafteori', 'walk', 'base_on_balls', 'grisepass', 'bases_on_balls', 'baser_klumpa_ihop', 'gå_ut_med_hunden', 'förflyttningar', 'gångart', 'häst_gång', 'gånghastighet', 'enkel_graf', 'ordern', 'the_walk', 'promenader', 'passgång', 'promenadhastighet', 'gå', 'paseo', 'oriktad_graf', 'kalimaru_airport', 'gångväg', 'gång', 'båge', 'grafnod', 'skritt', 'baser_på_bollar'}
war	{'krigen', 'wáray-wáray', 'krigståg', 'waray-waray', 'ares', 'krigsföring', 'krig', 'erövringskrig', 'waray-waray_språk', 'all_or_nothing', 'i_krigets_skugga', 'waray_waray', 'war', 'kriga', 'krigstillstånd', 'winaray', 'leyte-samarnon', 'militär_konflikt', 'krigskonst', 'väpnade_konflikter', 'krigföring', 'kriget', 'the_war', 'krigstid', 'wáray_wáray'}
warm	{'ilsken', 'lättretlig', 'varma', 'varm', 'ilsk', 'tillgiven'}
wash	{'the_wash', 'fukta', 'unearthed', 'lavering', 'tvätta', 'väta', 'tvätta_ritning', 'två', 'lavation', 'kinesisk_tvätt', 'tvätt', 'arroyo', 'tvätterska', 'lavyr', 'washout', 'slipstream', 'torr_tvätt', 'scan', 'lost_dogs', 'tvaga', 'buried', 'löga', 'kroppstvätt', 'washables', 'tvagning'}
water	{'vattenförsörjningssystem', 'dihydrogeniummonoxid', 'angel_dust', 'vattenledningar', 'is_skörd', 'vatten', 'blood_red_shoes', 'diures', 'vattensystem', 'industriellt_vatten', 'piddle', 'vattnets', 'dihydrogenmonoxid', 'droppe_staket', 'vattenånga', 'drivis', 'urin', 'vattenförsörjning', 'vattenresurser', 'weewee', 'hörnsten', 'vann', 'oxidan', 'kvävehaltigt_avfall', 'nummer_ett', 'vattenkälla', 'wasser', 'farvatten', 'wet', 'divätemonoxid', 'h2o', 'quoins', 'ängladamm', 'vattnet', 'voda', 'h₂o', 'konstbevattna', 'fencyklidin_hydroklorid', 'vattenförekomst', 'flytande_vatten', 'vattna', 'vätehydroxid', 'vattenförråd', 'vattenmassor', 'lättvatten', 'fencyklidin', 'is', 'bevattna', 'akvatisk', 'offentlig_vattenförsörjning', 'vattendistribution', 'piss', 'water', 'ånga', 'vattenångan', 'quoin', 'kommunalt_vattensystem', 'vattenmolekyl', 'vattensamling', 'vattendrag', 'diväteoxid'}
we	{'we', 'wetv', 'månghövdade_djur', 'western_electric', 'we_tv', 'polycephaly', 'vi', 'tvåhövdade_djur', 'flerhövdade_djur', 'wé', 'shinhwa', 'ㅞ', 'polycefali'}
weak	{'astenisk', 'svaghet', 'svaga', 'muskelsvaghet', 'somasteni', 'asteni', 'astenia', 'svag', 'the_sea', 'muskelförsvagning'}
wear	{'dam', 'klädedräkt', 'wear', 'klädindustrin', 'trötta_ut', 'slitage', 'klä', 'slitstyrka', 'nötning', 'habiliment', 'klädesplagg', 'plagg', 'river_wear', 'klädnad', 'klädsel', 'kläd', 'tattargipp', 'bära', 'bärbar', 'slita_ut', 'gipp', 'sätta_på', 'kläder'}
weather	{'atmosfäriska_tillstånd', 'vädersystem', 'väder_prognos', 'uthärda', 'väder', 'väderförhållanden', 'väderlek', 'vädret', 'väderprognos'}
wet	{'wet', 'fencyklidin', 'fuktskador', 'angel_dust', 'fukt', 'ängladamm', 'väta', 'fuktskada', 'västeuropeisk_tid', 'våt', 'vätande', 'blöt', 'fuktskadad', 'fencyklidin_hydroklorid', 'fuktighet', 'västeuropeisk_sommartid', 'west', 'fuktig'}
what	{'så', 'sådan', 'vad'}
when	{'diamonds_for_breakfast', 'när'}
where	{'vart', 'vart_qualifier', 'var', 'varifrån_qualifier', 'var_qualifier'}
white	{'vita_människor', 'vit_och_svart_i_schack', 'white', 'kontorshus_för_white', 'dominia', 'patrick_victor_martindale_vit', 'caucasoids', 'white_airways', 'äggvita', 'hudpigmentering', 'kaukasoid', 'kaukaser_ras', 'kaukasiska_rasen', 'white,_e.b.', 'den_vita_rasen', 'magic:the_gathering', 'vit_och_svart', 'blackface', 'äggvitan', 'tom', 'andrew_dickson_vit', 'pieris', 'vit_person', 'kaukaser', 'svart_i_schack', 'white_arkitekter', 'kaukasisk_ras', 'theodore_harold_vit', 'antikvit', 'hudfärg', 'trzy_kolory:_bialy', 'edward_vit', 'white_arkitekter_ab', 'magic:_the_gathering', 'vitna', 'andra_races', 'patrick_white', 'e.b._white', 'vita_rasen', 't.h._vit', 'benvit', 'kaukasier', 'europida', 'europider', 'kaukaisk_ras', 'latinamerikan', 'steven_pelé', 'vit_i_schack', 'vita_personer', 'off_white', 'asiat', 'vit', 'kaukasoider', 'elfenben', 'white,_patrick', 'delias', 'andrew_dickson_white', 'ovalbumin', 'vita', 'latino', 'äggvitor', 'svart', 'den_vita_filmen', 'theodore_h._white', 'black_lotus', 'planeswalker', 'vitt', 'white_river', 'magic_the_gathering', 'stanford_white', 'e.b._vit', 'elwyn_brooks_vit', 'kaukasoida', 'rhox', 'europid', 'off-white', 'edward_d._vit', 'andrew_d._white', 'den_kaukasoide_rasen', 'edward_douglas_vit_jr', 'e._b._white'}
who	{'zayn_malik', 'världshälsoorganisationens', 'world_health_organization', 'vem', 'the_who', 'som', 'världshälsoorganisationen', 'world_health_organisation', 'vilka', 'who', 'zayn', 'jim_neidhart', 'vilken', 'vho'}
wide	{'bred', 'vid', 'breda'}
wife	{'fru', 'maka', 'fruar', 'hustru', 'gift_kvinna'}
willingly	set()
wind	{'elektromagnetisk_spole', 'slingrande', 'östan', 'klocka', 'luftström', 'malarkey', 'tomgång_ord', 'farting', 'vind-assisted', 'nordanvind', 'potentiell_kund', 'västan', 'bryta_vind', 'tips', 'lindning', 'blåst', 'wind', 'prutta', 'tarmgas', 'prospekt', 'blåsinstrument', 'malarky', 'vindar', 'fjärt', 'skruva_upp', 'wiatr', 'luft', 'vind', 'sunnan', 'lead', 'konfidentiell_information', 'akeboshi', 'fiser', 'byvinden', 'vind_hjälp', 'nordan'}
wing	{'vinge', 'gone_again', 'stänkskärm', 'utanför_centrum', 'vakt_framåt', 'flyhalf', 'segelflygplan', 'flank', 'tillbyggnad', 'första_fem-åttonde', 'alverfolket', 'air', 'flygelbyggnad', 'annex', 'hjulhuset', 'vingen', 'spoiler', 'tighthead_prop', 'flygplansvinge', 'utbyggnad', 'mitten_insida', 'prop_framåt', 'flygel', 'flankerande_manöver', 'guard_framåt', 'lista_över_air-avsnitt', 'utanför_scenen', 'fly-halv', 'backstage', 'vänster_flankerande', 'fender', 'flygflottilj', 'sida', 'bilaga', 'överflygling', 'dummy-halv', 'hindwing', 'insekt_flygning', 'flyga', 'vingar', 'flankerande', 'wing', 'swingman'}
wipe	{'förbigå', 'wipe', 'torka'}
with	set()
woman	{'städhjälp', 'könet', 'female', 'woman', 'honkön', 'honor', 'städerska', 'kvinno', 'kvinnligt', 'täcka_könet', 'kvinnlig', 'rengöring_kvinna', 'kvinnan', 'kvinna', 'vuxen_hona', 'hondjur', 'gumman', 'gumma', 'hona', 'kvinnor', 'klaatu', 'nancy_benoit', 'harry_styles', 'kvinnliga', 'qvinna'}
word	{'nyhet', 'heliga_boken', 'helig_skrift', 'dataord', 'passord', 'helig_text', 'ord_storlek', 'skrifterna', 'formulera', 'löfte', 'ordlängd', 'bibeln', 'logos', 'word', 'heliga_texter', 'logosteologi', 'bra_bok', 'the_bible', 'ms-word', 'ordet', 'ord', 'heliga_skrift', 'ms_word', 'son', 'lösenord', 'heliga_böcker', 'microsoft_office_word', 'logotyper', 'microsoft_word', 'bibliska', 'bibelns', 'biblar', 'kristendomen:_bibeln', 'skriften', 'lexem', 'biblen', 'diskussion', 'söner', 'heliga_skrifter', 'religiösa_texter', 'biblisk', 'kristna_skrifterna', 'hedersord', 'lösen', 'nyheter', 'bibel', 'religiös_text', 'bibelcitat', 'den_heliga_skrift', 'kristna_bibeln'}
worm	{'dator_mask', 'slingra', 'internetmask', 'nätmask', 'europeisk_drake', 'vermes', 'willie_mccarter', 'worm', 'smuts_boll', 'maskar', 'datormask', 'mask', 'maskvirus'}
year	{'genomsnittliga_tropiska_året', 'sol_året', 'gigaanni', 'år', 'tidsålder', 'kalenderår', 'gigaannum', 'taxeringsår', 'tropisk_år', 'anomalistiskt_år', 'annum', 'lång_tid', 'tropiskt_år', 'gregorianska_året', 'jordsnurr', 'år/historik', 'ma', 'astronomiska_året', 'era', 'naturligt_år', 'ålder', 'tropiska_året', 'året'}
yellow	{'gulhet', 'yellow', 'feg', 'hoangho', 'cendré', 'blondin', 'huang_ho', 'hwang_river', 'askblond', 'gulaktig', 'räddhågad', 'eiko_shimamiya', 'gulna', 'gult', '黄河', 'blonde', 'gul', 'cendre', 'huanghe', 'gula_floden', 'råttfärgat_hår', 'huang_he', 'blont', 'húang_hé', 'hwang-ho_river', 'hong_jin-ho', 'yellow_river', 'huang-ho', 'zebrahead', 'mörkgul', 'gulsiktig', 'huang-hu', 'mellanblond', 'rödblond', 'hwang_ho', 'blond', 'blondering', 'blont_hår'}
you	{'the_real_testament', 'you', 'amy_lee', 'fly', 'pablo_honey', 'din', 'janne_da_arc', 'lee', 'du', 'ni', 'nia', 'no_control', 'lee,_amy', 'monster'}
