ability	{'zdolność', 'uzdolnienie'}
tool	{'koń', 'tool', 'lachrymologia', 'narzędzie', 'narzędzie_programistyczne', 'narzędzi_programistycznych', 'kutas', 'lacha', 'wał', 'narzędzia', 'lakrymologia', 'instrument', 'chuj', 'pyta', 'narzędzi', 'trzonek', 'pała', 'fiut'}
tooth	{'budowa_zęba', 'zęby', 'zębów', 'zęby_człowieka', 'ząb', 'zęba'}
toy	{'chatoyant', 'miniaturka', 'akcesoria_seksualne', 'akcesoria_erotyczne', 'efekt_kociego_oka', 'miniatura', 'zabawki', 'chatoyancy', 'toy', 'płeć_zabawka', 'zabawek_erotycznych', 'pies_zabawka', 'bawidło', 'toyline', 'yello', 'port_lotniczy_toyama', 'zabawka', 'bawidełko', 'pies_ozdobny'}
tree	{'charlotte_bronte', 'drzewa', 'węzeł_nadrzędny', 'węzeł_liścia', 'las', 'drzewko', 'tree', 'charlotte_brontë', 'węzła_nadrzędnego', 'herbert_beerbohm_tree', 'drzew', 'korzeń_drzewa', 'węzeł_wewnętrzny', 'poddrzewo', 'sir_herbert_beerbohm_drzewo', 'drzewo', 'kultu_drzewa', 'zakorzenione_drzewo', 'schemat_drzewa', 'liść_drzewa', 'dendryt', 'święte_drzewo'}
trial	{'iii', 'paucal', 'pozew', 'próbny', 'sprawdzian', 'ternion', 'trzy', 'trójka', 'przewód_sądowy', 'boleść', 'pozwał', 'causa', 'sporu_prawnego', 'sprawa', 'systemie_przyczyną', 'przedprocesowego', 'liczby', 'przyczynowość', 'doświadczenie_losowe', 'sprawie_cywilnej', 'proces_sądowy', 'powództwo', 'postępowanie', 'rozprawa', 'teście', 'przyczyny', 'liczba', 'deuce-ace', 'postępowanie_sądowe', '3', 'proces', 'pozew_sądowy', 'testu', 'testowanie', 'tercet', 'potrójny', 'przypadek', 'goliath', 'sądzonych', 'liczba_potrójna', 'tři', 'rozprawa_sądowa', 'próbował', 'troisty', 'eksperymentu', 'umowa_numer', 'przyczynowości'}
tried	{'przewód_sądowy', 'proces_sądowy', 'próbował', 'rozprawa', 'proces', 'rozprawa_sądowa'}
turn	{'zwrot_wydarzeń', 'punkt', 'przysługa', 'mechanika_gry', 'kolei', 'ozdobnik', 'piruecik', 'mechanika', 'przednutka', 'turn', 'szpiedzy_z_waszyngtonu', 'acciaccatura', 'wycofać', 'dekoracja', 'wygięcie', 'ornament', 'volta', 'kąt_pełny', 'skręt', 'punkt_programu', 'punkt_zwycięstwa', 'perigon', 'zakręt', 'obiegnik', 'runda', 'zwrot', 'okrągły_kąt', 'przerzucić', 'przednutka_krótka', 'numer', 'włączyć', 'mechaniki_gry', 'lista_pojęć_związanych_z_wrestlingiem', 'ozdobniki', 'ornamentem', 'obrót', 'piruet', 'appoggiatura', 'uwaga_łaska', 'tura'}
two	{'klamra', 'dwójeczka', 'enneagram', 'two', 'dwójka', 'achiever', '2', 'succeeder', 'tai_wo', 'ii', 'dwa'}
typical	{'gatunkowy', 'zwykły', 'typowy', 'rodzajowy', 'zwyczajny', 'normalny'}
unaware	{'nieświadomy'}
usable	{'używalny', 'usability', 'działający', 'przyjazny_dla_użytkownika', 'użyteczność'}
useless	{'zbędny', 'nadmiarowy', 'zbyteczny', 'bezpożyteczny', 'useless', 'nieprzydatny', 'niepotrzebny', 'bezpotrzebny', 'bezużyteczny'}
vacation	{'ferie', 'absencja_pracownicza', 'w_nowym_zwierciadle:_wakacje', 'wakacje', 'wywczasy', 'feriae'}
vomit	{'nauseant', 'disgorgement', 'odruch_wymiotny', 'wymiotuje', 'wymiotować_rzygać', 'wymiotny', 'torsje', 'wymiociony', 'mitralnej', 'emetyk', 'barf', 'wymiocinami', 'rzygam', 'wymioty', 'wymiociny'}
walk	{'sposób_chodzenia', 'stawianie_kroków', 'zawód', 'iść', 'walk', 'gęstość_grafu', 'graf_zwykły', 'wierzchołek_grafu', 'chodnik', 'wyprowadzić', 'port_lotniczy_tanjung_redeb-kalimarau', 'chodu_konia', 'wyprowadzać', 'chodzenia', 'nadgraf', 'grafy', 'inochód', 'chodzenie', 'podgraf', 'celu', 'węzeł_grafu', 'baz_na_kulki', 'base_on_balls', 'graf_nieskierowany', 'pieszy', 'chód_konia', 'paseo', 'graf', 'chodzić', 'stęp', 'chód', 'krawędzi', 'bazy_na_kulki'}
war	{'podział_wojen', 'the_war', 'konfliktu_zbrojnego', 'język_warajski', 'wojna', 'język_waray-waray', 'warajski', 'wojen', 'all_or_nothing', 'stan_wojny', 'hap_i_leonard', 'ares', 'bój', 'konfliktów_zbrojnych', 'język_waray_waray', 'wojny', 'war', 'rodzaje_wojen', 'walka'}
warm	{'tkliwy', 'ciepły', 'czuły', 'namiętny', 'miękki'}
wash	{'mycie', 'buried', 'strumieniu', 'the_wash', 'parów', 'unearthed', 'prać', 'wyschnięcia_umyć', 'pranie', 'prania', 'arroyo', 'washables', 'myć', 'praczki', 'wymywanie', 'lavation', 'lawowanie', 'umyć_rysunek', 'the_wash:_hiphopowa_myjnia', 'scan', 'lost_dogs', 'mycia', 'śladzie'}
water	{'instalacja_wodna', 'odpadów_azotowych', 'para', 'wodociąg', 'mocz', 'uryna', 'chlorowodorek_fencyklidyna', 'h2o', 'siusiać', 'woda_-_wielka_tajemnica', 'winkiel', 'napoić', 'woda_pitna', 'woda_–_wielka_tajemnica', 'ciekłej_wody', 'woda', 'instalacja_wodociągowa', 'wody', 'h₂o', 'weewee', 'jednolita_część_wód', 'anielski_pył', 'wodociągi', 'monotlenek_biwodoru', 'narożnika', 'poić', 'ogrodzenie_drop', 'tlenek_wodoru', 'water', 'sieci_wodociągowej', 'cząsteczki_wody', 'akwen', 'przeszkody_jeździeckie', 'fencyklidyna', 'łzawić', 'oksydan', 'blood_red_shoes', 'moczu', 'wodociągów', 'system_zaopatrzenia_w_wodę', 'zasoby_wodne', 'ogrodzenie_spadek', 'węgieł', 'lód', 'pary_wodnej', 'sieć_wodociągowa', 'lodu', 'para_wodna', 'zaopatrzenie_w_wodę', 'ciało_z_wody', 'angel_dust'}
we	{'shinhwa', 'wé', 'polycephaly', 'my', 'we'}
weak	{'osłabienie', 'osłabienie_mięśni', 'astenia', 'słaby', 'the_sea'}
wear	{'ciuch', 'odzieży_damskiej', 'ścieranie', 'odzienie', 'zużycie_ścierne', 'odporność_na_ścieranie', 'zdatny_do_noszenia', 'odzieży', 'zwrot_przez_rufę', 'wiatrem', 'odzież', 'nosić', 'ubranie', 'strój', 'konfekcja', 'przemysłu_odzieżowego', 'ubiór', 'ubrania', 'szata', 'wear', 'habiliment'}
weather	{'warunki_pogodowe', 'pogódka', 'prognozy_pogody', 'warunkach_atmosferycznych', 'pogoda', 'prognoza_pogody', 'elementy_meteorologiczne', 'warunków_pogodowych', 'warunki_atmosferyczne'}
wet	{'wilgotne', 'wilgoć', 'mokry', 'sweat', 'czas_zachodnioeuropejski', 'mokro', 'wilgoci', 'wet', 'wilgotny', 'chlorowodorek_fencyklidyna', 'angel_dust', 'anielski_pył', 'fencyklidyna', 'wilgotna'}
what	{'co'}
when	{'diamonds_for_breakfast'}
where	{'gdzie_qualifier', 'dokąd_qualifier', 'dokąd', 'gdzie', 'skąd_qualifier'}
white	{'białka', 'rasa_kaukaska', 'posiwiały', 'rasa_kaukazoidalna', 'białych', 'andrew_d._white', 'biali_ludzie', 'e._b._biała', 'obieżysfera', 'black', 'barwa_biała', 'theodore_harold_biały', 'andrew_dickson_white', 'e._b._white', 'kolor_skóry', 'ffffff', 'pieris', 'perłowość', 'white', 'caucasian_race', 'europeidalna_rasa_człowieka', 'biały', 'białek', 'patrick_victor_martindale_biały', 'hiszpanie', 'światło_białe', 'biała_rasa', 'rasa_europeidalna', 'trzy_kolory._biały', 'e.b._white', 'białych_ludzi', 'białawy', 'rasa_biała_człowieka', 'white_motor_company', 'magic:_the_gathering', 'białość', 'europeidalną', 't._h._white', 'patrick_white', 'edward_white', 'caucasoids', 'biały_człowiek', 'magic_the_gathering', 'white_river', 'andrew_dickson_biały', 'koloru_skóry', 'śnieżny', 'siwy', 'blackface', 'innych_ras', 'stanford_biały', 'odmiana_europeidalna', 'kości_słoniowej', 'edward_douglas_white_jr', 'kolor_biały', 'kaukazoidalna_rasa_człowieka', 'rasy_kaukaskiej', 'edward_d._white', 'biała_odmiana_człowieka', 'latynosi', 'rasa_biała', 'śnieżysty', 'ziemisty', 'trzy_kolory:_biały', 'white_airways', 'owalbuminę', 'białko', 'jaj', 'pigmentacji_skóry', 'biała_rasa_człowieka', 'elwyn_brooks_biały', 'europeidalną_wyścig', 'biel'}
who	{'światowej_organizacji_zdrowia', 'jim_neidhart', 'who', 'światowa_organizacja_zdrowia', 'the_who', 'śoz', 'zayn_malik', 'zayn', 'world_health_organization'}
wide	{'szeroki', 'obszerny', 'szerokości'}
wife	{'mężatka', 'małżonka', 'żona', 'żon', 'ślubna'}
willingly	set()
wind	{'austrul', 'wardawak', 'nortes', 'malarky', 'malarkey', 'aerofon', 'brickfielder', 'strumień_powietrza', 'prospekt', 'wind', 'seistan', 'potencjalny_klient', 'surazo', 'leveche', 'farting', 'wiatr', 'bąk', 'gazy_w_przewodzie_pokarmowym', 'yoshio_akeboshi', 'wzdęcia', 'marin', 'tivano', 'instrumentów_dętych', 'podmuchu_wiatru', 'prąd_powietrza', 'informacje_poufne', 'bohorok', 'dzwon', 'autan', 'jauk', 'temporales', 'cordonazo', 'belat', 'gregale', 'wiatry', 'breva', 'uzwojenia', 'ponente', 'wind_river_systems', 'łamanie_wiatr', 'vendavales', 'pierdnięcie', 'baguio', 'porywy_wiatru', 'powietrze', 'solano', 'akeboshi', 'reshabar', 'karif', 'puste_słowa', 'instrumenty_dęte', 'instrument_dęty', 'buran', 'cynk', 'purga'}
wing	{'pozycja_w_rugby_league', 'spoiler', 'flyhalf', 'błotnik', 'wiązacz', 'wiązacz_młyna', 'hindwing', 'filar', 'środkowy_ataku', 'odłam', 'skrzydło_ptaka', 'straż-forward', 'skrzydło_samolotu', 'dummy-pół', 'poza_sceną', 'środku_centrum', 'swingman', 'aneks', 'latać', 'gone_again', 'spojler', 'pozycja_w_rugby_union', 'skrzydłowy', 'kulisa', 'towarzyszących', 'łącznik_ataku', 'łącznik_młyna', 'wspieracz_młyna', 'skrzydełko', 'wing', 'wspieracz', 'załącznik', 'błotnik_samochodowy', 'poza_centrum', 'skrzydłowy_ataku', 'płat', 'kole_również', 'air', 'filar_młyna', 'flankowanie', 'flanka', 'skrzydło_owada', 'za_kulisami', 'oddział_boczny', 'obrońca', 'pozycje_zawodników_w_rugby_union', 'skrzydło', 'lotu_ptaka', 'młynarz', 'frakcja', 'fly-pół', 'rwacz', 'skrzydła'}
wipe	{'wycierać', 'wytrzeć'}
with	set()
woman	{'słaba_płeć', 'dorosłych_kobiet', 'kobiecość', 'samiczka', 'płeć_żeńska', 'kobieta', 'klaatu', 'ukrainka', 'gościówa', 'klientka', 'nancy_benoit', 'kobita', 'sprzątaczka', 'babka', 'panna_charlie', 'żona', 'stara', 'samica', 'kolesiana', 'niewiasta', 'facetka', 'baba', 'czyszczenie_kobietę', 'posługaczka', 'cleaning_lady', 'kobiet', 'kolesiówa', 'harry_styles', 'woman'}
word	{'jezus_nazarejczyk', 'hasła', 'chrześcijańskiego_pisma', 'słowa', 'syna', 'święte_księgi', 'teksty_religijne', 'pisma_świętego', 'debatowanie', 'słowo_danych', 'mesjasz', 'pantokrator', 'microsoft_word', '.doc', 'logos', 'dqword', 'biblia', 'jezus_nazareńczyk', 'dword', 'baranek_boży', 'dysputa', 'good_book', 'świętych_tekstów', 'rozmiar_tekstu', 'jezus_chrystus', 'biblijny', 'słowo', 'chrystus', 'wyraz', 'leksem', 'pismo_święte', 'nazarejczyk', 'obietnica', 'zobowiązanie', 'synek', 'słowo_honoru', 'verbum', 'ms_word', 'długości_słowa', 'słów', 'kod_dostępu', 'pan_jezus', 'święta_księga', 'oword', 'syneczek', 'zbawiciel', 'dyskusja', 'szerokość_słowa', 'wieści', 'biblia_chrześcijańska', 'jezus', 'dyskusji', 'hasło', 'słowo_podwójne', 'dysputacja', 'synuś', 'dobry_pasterz', 'słowo_maszynowe', 'słowo_poczwórne', 'nazareńczyk', 'parol', 'word', 'galilejczyk', 'qword', 'biblii_chrześcijańskiej', 'debata', 'syn_boży', 'biblii', 'długość_słowa', 'syn'}
worm	{'worm', 'robaka_komputerowego', 'robak_internetowy', 'gnida', 'wsza', 'wesz', 'robak', 'robaki', 'ślimak', 'menda', 'piłka_brud', 'robak_komputerowy'}
year	{'równonocy_roku', 'yr', 'rok_tropikalny', 'roku_gregoriańskiego', 'wiek', 'rok_kalendarzowy', 'lat', 'rok_słoneczny', 'długo', 'roku', 'astronomicznego_lata', 'poziom', 'roku_podatkowego', 'tropikalny_roku', 'rok_anomalistyczny', 'era', 'rok_tropiczny', 'długi_czas', 'ma', 'rok', 'oddział', 'anomalistyczny_roku', 'lata', 'dwanaście_miesięcy', 'roku_słonecznego', 'rok_zwrotnikowy', 'klasa', 'rocznie'}
yellow	{'żółtość', 'zżółkły', 'blond', 'kolor_żółty', 'tchórzliwy', 'zebrahead', 'blondynka', 'blond_włosy', 'żółta_rzeka', 'żółć', 'ffff00', 'hwang_ho', 'wyżółkły', 'eiko_shimamiya', 'huang_he', 'bojaźliwy', 'barwa_żółta', 'yellow', 'huang_ho', 'rzeka_żółta', 'żółcizna', 'strachliwy', 'blondyn', 'trwożliwy', 'żółtawy', 'hong_jin-ho', 'yellow_river', 'pożółkły', 'żółty', 'lękliwy', 'ac-2', 'huang-ho'}
you	{'janne_da_arc', 'fly', 'no_control', 'wy', 'pablo_honey', 'the_real_testament', 'twój', 'ty', 'monster', 'you', 'amy_lee'}
