ability	{'la_capacitat', 'aptitud', 'poder', 'habilitat', 'capacitat', 'enginy'}
team	{'el_grup_de_rock', 'artista_en_solitari', 'grup_de_música', 'grup', 'conjunt_musical', 'bandes_de_música', 'bandes_de_rock', 'projecte_en_solitari', "equip_d'esport", 'equip_multidisciplinar', 'associar-se', "esport_d'equip", 'grup_de_rock', 'banda_de_rock', 'banda_pop', 'equip', 'formar_un_equip', 'banda_musical', 'conjunt_instrumental', "esports_d'equip", 'grup_musical', 'banda_de_música', 'equip_multidisciplinari', 'team', 'la_banda_de_rock'}
texture	{'sensació_a_la_boca', 'macrotextura', 'textura_musical', 'textura_cristal·logràfica', 'textures_musicals', 'textura', 'mapa_de_textura', 'textures', 'textura_de_la_pintura'}
that	{'that', 'thaat'}
there	{'allí', 'hi', 'allà'}
they	{'they', 'xe', 'nombre_atòmic_54', 'ells', 'número_atòmic_54', 'xenó', '«they»_singular'}
thick	{'cor', 'cepat', 'mig', 'dens', 'gros', 'compacte', 'condensat', 'moll', 'tanoca', 'ximple', 'fornit', 'gruix', 'robust', 'espès', 'beneit', 'concentrat', 'corpulent', 'fort', '1/2'}
thin	{'esvelt', 'aprimar', 'reduir', 'diluir', 'lleu', 'dispers', 'amagrir-se', 'clar', 'fer_prim', 'escàs', 'espars', 'prim', 'esclarissat', 'aprimar-se', 'insubstancial', 'primes', 'aflaquir-se', 'aflaquir'}
think	{'imaginar', 'think', 'pensament', 'recordar', 'cerebración', 'proposar-se', 'opinar', 'procés_del_pensament', 'intenció', 'comportar', 'considerar', 'suposo', 'tenir_la_intenció', 'meditació', 'pensar', 'pensaments', "m'imagino", 'crec', 'intel', 'creure', 'rememorar', 'discórrer', 'ció', 'suposar', 'reflexió'}
this	{'thinis', 'mi', 'tinis', 'aquest', 'this'}
three	{'enneagrama', 'terceres', 'bob_sinclar', 'tercet', 'seventeen_seconds', 'ruta_3_del_metro_de_nova_york', 'santana_iii', 'terzetto', 'tres', 'troica', "trineu_a_l'hivern", 'santana', 'achiever', 'tercer', 'trey', '3r', 'èxit', 'final', 'iii', 'succeeder', 'ternari', 'nombre_tres', 'ternion', 'christophe_le_friant', 'tercers', 'terceras', '3', 'guanyador', 'trio', 'deuce-es', 'prong', 'three'}
throw	{'llautó_instrument', 'deixar_perplex', 'propinar', 'llançar', 'carrera_de_compressió', 'instument_de_metall', 'encendre', 'llautó', 'torbar', 'vent-metall', 'projecció', 'dispensar', 'instrument_de_metall', 'llançament', 'ofuscar', 'factor_de_projecció', 'embolicar', 'donar', 'canvi_carrera', 'entregar', 'tirar', 'instruments_de_vent-metall', 'instruments_de_metall', 'instrument_de_vent_de_metall', 'accionar', 'mudar_de', 'desconcertar', "treure's", 'confondre', "carrera_d'escapament", 'passada', 'projectar', 'desorientar', 'vent_metall', 'embrollar', 'instrument_de_música_de_metall', 'desfer-se_de', 'metall'}
tie	{'nuar', 'vinclar', 'enllaç', 'corbates', 'reunir', 'lligadura_(música', 'linkup', 'vincular', 'via_en_placa', 'enganxar', 'tie', 'comunicar', 'lligar', 'ennuar', 'vincle', 'tirant', 'lligar_fes', 'enllaçar', 'unir', 'lligadura', 'tenen_in', 'unir-se', 'relacionar', 'associar', 'ferrocarril,_corbata', 'aparellar', 'connectar', 'entroncar', 'fermar', 'ajuntar', 'amarrar', 'travesses_de_ferrocarril', 'corbata', 'travessa', 'casar', 'empat', 'empatar', 'nus', 'afiliació', 'enganxar-se', 'acoblar'}
time	{'tens', 'rellotge', 'temps', "seqüència_d'esdeveniments", 'vegada', 'cop', 'mountain_khakis_ep-no', 'temps_cosmològic', 'polímetre', 'time', 'temps_gramatical', 'signatura_de_compàs', '4/4', 'temps_verbal', 'interval_de_temps', 'compàs_musical', 'època', 'pare_temps', 'y_not', 'condemna', 'titan_mare_explorer', 'ocasió', 'duple', 'calcular_el_temps', 'pena_de_presó', 'time_magazine', 'cronologia_del_big_bang', 'univers_primerenc', 'ordres_de_magnitud', '6/8_vegada', 'temporalitzar', '12/8', 'unitats_de_temps', 'in_my_own_words', 'temps_compost', "mountain_khakis-jittery_joe's", 'mètrica_musical', 'bulb', 'pacific_ocean_blue', 'pena', 'compàs', 'time.h', 'anastacia', 'mètrica', 'regular', 'moment', 'mountain_khakis', 'compassos', 'rellotge_del_sistema', 'smartstop-mountain_khakis', "scatman's_world", 'senyal_de_rellotge', 'punt_en_el_temps', 'rellotge_de_temps', 'cable_disparador', 'cicles_de_rellotge', 'xkcd_1190', 'quarta_dimensió', 'cicle_de_rellotge', '2/4_vegada', 'hypnotica', 'temps_t', 'temps_simple', 'hora', 'temps_de_vals', 'cronometrar', 'smartstop', 'unitat_de_temps', 'revista_time'}
tongue	{'llengua_de_res', 'llengües', 'llenguatge_natural', 'do_de_llengües', 'batall', 'llengües_naturals', 'lingua', 'tongue', 'glosolalia', 'llengua', 'res_llengua', 'idioma', 'llengua_de_terra', 'parlar_en_llengües', 'llengua_natural', 'llengua_de_vaca', 'llengua_de_bou', 'glossolàlia', 'glossa'}
tool	{'tool', 'eina_de_desenvolupament', 'estri_de_treball', 'titola', 'polla', 'eina_desenvolupament', 'nolex', 'pixa', 'eines_de_desenvolupament_programari', 'utillatge', 'instrument', 'estris_de_treball', 'estri', 'eina', 'eina_programari', 'eines_de_programari', 'estris', 'medis_de_vida', 'utensili', 'ferramenta', 'eina_de_programació', 'carall', 'eina_de_desenvolupament_programari', 'eines', 'medi_de_vida'}
tooth	{'trígon', 'canvi_de_les_dents', 'fórmula_dentària', 'hipocon', 'dents', 'fórmula_dental', 'paracònid', 'protocon', 'dentadura', 'parastil', 'arrel', 'trigònid', 'metacon', 'dent', 'paracon'}
toy	{'línia_de_joguines', 'chatoyancy', 'yello', 'gos_de_companyia', 'chatoyant', 'joguina_del_gos', 'joguina_de_platja', 'jugar', 'joguina', 'toy', 'joguet', 'joguines', 'gos_de_joguina', 'joguines_sexuals', 'miniatura', 'jugueta'}
tree	{'arbres_joves', 'arbre_sagrat', 'subarbre', 'node_fulla', 'tree', "diagrama_d'arbre", 'herbert_beerbohm_tree', 'teorema_de_kruskal_arbre', 'charlotte_brönte', 'charlotte_brontë', 'arbre', 'node_interior', 'node_pare', 'fusta', 'arbreda', 'sir_herbert_beerbohm_tree', "estructura_dades_d'arbre", 'bosc', 'charlotte_bronte', 'arbres', 'arboris', 'node_arrel', 'diagrama_arbori', 'node_intern'}
trial	{'demanda_civil', 'judici_executiu', 'causes', 'terceres', 'tercet', 'disputa_legal', 'prova', 'experiment_aleatori', 'demandar', 'experiment', 'nombre_de_contracte', 'terzetto', 'tres', 'examen', 'cas_civil', 'troica', 'experimentació', "trineu_a_l'hivern", 'procés_judicial', 'trial', 'tribunal_civil', 'fenomen_aleatori', 'morfema_de_nombre', 'juí', 'plet', 'demanda', 'tercer', 'trey', 'litigants', '3r', 'procés', 'prèvies_al_judici', 'dificultat', 'iii', 'nombre', 'sistema_causa', 'ternari', 'nombre_tres', 'experiments_i_esdeveniments_aleatoris', 'ternion', 'causal', 'judici', 'número', 'tercers', 'cas_criminal', 'assaig', 'causa', 'espai_mostral', 'tribulació', 'maldecap', 'terceras', 'causalitat', '3', 'verificació', 'cas', 'litigi', 'cas_legal', 'paucal', 'trio', 'prova_de_funcionament', 'deuce-es', 'provatura', 'nombre_gramatical', 'singular', 'test'}
tried	{'judici', 'judici_executiu', 'cas_criminal', 'procés', 'juí', 'procés_judicial'}
turn	{'agrejar', 'doblar', 'fer_girar', 'transformar-se', 'torn', 'fermentar', 'trigonometria_racional', 'mecànica_de_joc', 'bit', 'cabriola', 'decoració', 'dislocar-se', 'agrir-se', 'tòrçar', 'convertir', 'desconjuntar-se', 'gir_dels_esdeveniments', 'tombar', 'acidificar', 'corbar', 'donar_la_volta', 'tanda', 'acciaccatura', 'enroscar', "videojoc_d'estratègia_per_torns", 'angle_rodó', 'transformar', 'punts_de_victòria', 'acte', 'solcar', 'gir', 'revolt', 'repuntar-se', 'torçar', 'pirueta', 'elaborar', 'torçar-se', 'avinagrar-se', 'volta_rodona', 'trenar', 'bona_acció', 'volt', 'ornament_de_jardí', 'virar', 'manera_de_joc', 'gràcia_nota', 'recolzament', 'guarniment', 'perigon', 'adornament', 'fer_tornar', 'gruppeto', 'picar-se', 'grupet', 'embelliment', 'doblegar', 'llaurar', 'tòrcer', 'esdevenir', 'amargar', 'revertir', 'encorbar', 'invertir', 'passeig', 'fer_giravolts', 'ornamental', 'ornamentació', 'número', 'ornament', 'asprejar', 'capgirar', 'convertir-se', 'girar', 'rotar', 'adorn', 'voltejar', 'volta', "videojoc_d'estratègia_basada_en_torns", 'tomb', 'canviar', 'tombar-se', 'girar-se'}
two	{'succeeder', 'enneagrama', 'dues', '2n', '2', 'segon', 'ii', 'achiever', 'guanyador', 'nombre_2', 'dos', 'dugues', 'two', 'èxit'}
typical	{'típic', 'distintiu'}
unaware	{'inconscient', 'ignorant', 'conscient'}
usable	{'aprofitable', 'usabilitat', "facilitat_d'ús", 'utilitzable'}
useless	{'incapaç', 'ineficaç', 'inepte', 'va', 'useless', 'inútil'}
vacation	{'vacances', 'fer_vacances', 'vacation', 'estiuejar'}
vomit	{'emètiques', 'barf', 'degollament', 'vomitiva', 'nauseant', 'regurgitació', 'emesi', 'vòmits', 'vomitar', 'regurgitar', 'perbocar', 'èmesi', 'vòmit', 'emètic', 'vomitiu', 'vomita', 'vomitant'}
walk	{'termes_de_teoria_de_grafs', 'graf_no_dirigit', 'deambulació', 'excursionisme', 'ordre', 'pas', 'persiana', 'galop', 'passejar', 'passarel_·', 'marxa', 'vora', 'llista_de_temes_sobre_la_teoria_de_grafs', 'walk', 'temes_de_teoria_de_grafs', 'base_per_boles', 'passejada', 'termes_de_la_teoria_de_grafs', 'anar', 'node_de_gràfic', 'graf', 'gràfic', 'glossari_de_teoria_de_grafs', 'locomoció_dels_cavalls', 'passeig_de_la_vida', 'manera_de_caminar', 'glossari_de_la_teoria_de_grafs', 'bases_per_boles', 'passejar_amb', 'caminar', 'a_peu', 'graf_dirigit', 'caminada', 'passeig'}
war	{'bel·licisme', 'conflicte_armat', 'conflicte_bèl·lic', 'ares', 'conflicte_militar', 'victòries_per_sobre_del_reemplaçament', 'war', 'línies_de_bizkaibus', 'the_war', 'a_war', 'estat_de_guerra', 'conflictes_armats', 'waray-waray', 'guerra', 'all_or_nothing', 'samarà', 'idioma_waray-waray', 'guerrejar', 'krigen', 'guerres'}
warm	{'càlida', 'rescalfar-se', 'temperar-se', 'dolç', 'escalfar-se', 'calorosament', 'caldejar', 'tendre', 'rescalfar', 'escalfar', 'afectuós', 'calfar', 'temperar', 'calent', 'caldejar-se', 'càlid'}
wash	{'bugaderia', 'humitejar', 'rambla', 'the_wash', 'bugadera', 'xopar', 'llavar', 'lost_dogs', 'rentables', 'slipstream', 'unearthed', 'rentar', 'lavation', 'reble', 'bugada', 'buried', 'aiguada', 'scan', 'rentar-se', 'rambles', 'deixant', 'mullar', 'estela', 'rierol', 'rentat', 'bugaderia_xinesa', 'esbaldregall', 'assecar_rentar'}
water	{'vapor', 'fenciclidina', 'urina', "propietats_de_l'aigua", 'orins', "vapor_d'aiga", 'gel', 'h₂o', "xarxa_d'aigua", "sistema_de_subministrament_d'aigua", 'recurs_hídric', 'h2o', 'llagrimejar', "molècula_d'aigua", "sistema_d'aigües", "cossos_d'aigua", 'fenilciclohexilpiperidina', 'fer_pipí', "pols_d'angel", 'collita_de_gel', 'irrigar', 'aigua_líquida', "molècula_de_l'aigua", 'clorhidrat_de_fenciclidina', 'aigua', 'pis', 'deixalles_nitrogenades', "font_d'aigua", 'pcp', "cos_d'aigua", "sistema_d'aigua", 'congelant', 'pixats', 'píndola_de_la_pau', "subministrament_d'aigua", 'monòxid_de_dihidrogen', 'orina', 'disbauxa_tropical', 'regar', 'aquàtic', 'blood_red_shoes', 'donar', 'aigua_industrial', 'tanca_caiguda', 'mar', 'glaç', 'quoin', "subministrament_d'aigua_pública", 'orina_primària', 'pixum', "pols_d'àngel", 'laura-mary_carter', 'water', "subministraments_d'aigua", "sistema_d'aigua_municipal", 'pipí', "massa_d'aigua", 'aigües', "vapor_d'aigua", 'recursos_hídrics', 'salivar', 'vapor_d’aigua'}
we	{'policefàlia', 'shinhwa', 'ヱ', 'nosaltres', 'we_tv', 'we', 'polycephaly', 'bicefàlia', 'ゑ', 'wé'}
weak	{'astènia', 'aigualit', 'aquós', 'fal·lible', 'debilitat_muscular', 'the_sea', 'debilitat', 'frágil', 'imperfecte', 'decrèpit', 'feble', 'malaltís', 'dèbil'}
wear	{'habiliment', 'perdurar', 'fatigar', 'trencar-se', 'descompondre', 'roba', 'indumentària', 'desgastar', 'ús', 'wear', 'cansar', 'posar-se', 'vestit', 'resistència_al_desgast', 'persistir', 'dur', 'vestir', 'peça_de_vestir', 'desgast', 'usable', 'fatigar-se', 'fracturar-se', 'abatre', "rompre's", 'trabujada', 'vestimenta', 'trasluar', 'roba_de_dona', 'cansar-se', 'portar', 'desgastar-se', 'vestir-se', 'peces_de_vestir'}
weather	{'perdurar', 'temps', 'temps_espacial', 'el_temps', 'afrontar', 'pronòstic_del_temps', 'condicions_climàtiques', 'condició_atmosfèrica', 'temps_pronòstic', 'temps_atmosfèric', 'pronòstic', 'estat_del_temps', 'capejar', 'persistir', 'temps_meteorològic', 'condicions_metereològiques', 'desafiar'}
wet	{'pitof', 'humitejar', 'gat', 'fenciclidina', 'pet', 'moll', 'píndola_de_la_pau', 'mullat', 'xopat', 'pilloc', 'borratxo', 'trompa', 'remullar', 'fenilciclohexilpiperidina', 'wet', "pols_d'àngel", "pols_d'angel", 'xop', 'clorhidrat_de_fenciclidina', 'humit', 'mullar', 'mamat', 'pcp', 'humitat'}
what	{'que'}
when	{'diamonds_for_breakfast'}
where	{'where', 'on'}
white	{'hispà', 'marfil', 'home_blanc', 'planeswalker', 'edward_white', 'edward_douglas_white_jr', 'patrick_white', 'asiàtics', 'raça_i_etnicitat_en_el_cens_dels_estats_units', 'blancúria', 'trzy_kolory:_bialy', 'blanquinós', 'blanc', 'caucasià', 'white_river', 'blancor', 'caucàsic', 'persona_blanca', 'ivori', 'andrew_d._white', 'theodore_harold_white', 'albumen', 'elwyn_brooks_white', 'ovoalbúmina', 'magic:_el_encuentro', 'raça_caucàsica', 'albúmina', 'genus_pieris', 'leucoderm', 'raça_blanca', 'color_de_pell', 'magic:_la_trobada', 'alba', 'color_de_la_pell', 'magic:_the_gathering', 'color_blanc', 'white', 'white_airways', 'emblancar', 'e._b._white', 'pieris', 'edward_d._white', 'blanques_i_negres_en_escacs', 'vori', 't._h._white', 'trois_couleurs:_blanc', 'blancs', 'els_blancs', 'caucasoide', 'pantalons_de_franel·la', 'magic_the_gathering', 'stanford_white', 'caucasoides', 'emblanquinar', "clara_d'ou", 'raça_caucasoide', 'clara', "clares_d'ou", 'blanquejar', 'trois_couleurs_:_blanc', 'pàl·lid', 'altres_races', 'caucàsic_carrera', 'amplificador_fender', 'blanc_trencat', 'andrew_dickson_white', 'tres_colors:_blanc', 'llatí', 'blanqueta', 'blackface', 'pigmentació_de_la_pell', 'patrick_victor_martindale_white', 'white_people', 'emblanquir', 'magic', 'albor', 'negre'}
who	{'organització_mundial_de_la_salut', 'who', 'orella', 'world_health_organization', 'the_who', 'que', 'jim_neidhart', 'oms'}
wide	{'general', 'global', 'espaiós', 'ampli', 'ample', 'complet'}
wife	{'dona_casada', 'muller', 'esposa', 'dona'}
willingly	{'de_bona_gana', 'gustosament', 'de_bon_grat', 'molt_de_grat'}
wind	{'idea', 'trenar', 'aeròfon', 'pet', 'instruments_musicals_de_vent', 'flat', 'frivolitats', 'consell', 'bobinatge', 'wind:_a_breath_of_heart', 'flairar', "corrent_d'aire", 'ensumar', 'indicació', 'aixecar', 'pets', 'serpejar', 'ajuda_del_vent', 'wind', 'encerclar', 'akeboshi', 'elevar', 'aeròfons', 'informació_confidencial', 'wiatr', 'ventositat', 'ràfega_vent', 'vent', 'campana', 'circumdar', 'serpentejar', 'malarkey', 'vagar', 'vents', 'hissar', 'conversa_frívola', 'bobina_electromagnètica', 'ràfegues_de_vent', 'embolicar', 'trencar_el_vent', 'alçar', 'pujar', 'malarky', 'paraules_ocioses', 'instruments_de_vent', 'vent_assistida', 'girar', 'la_força_del_vent', 'gas', 'client_potencial', 'enrotllament', 'volta', 'arremolinar', 'instrument_de_vent', 'instrument_aeròfon', 'aire', 'olorar', 'instrument_musical_de_vent', 'enrotllar', 'donant_potencial', 'voltar', 'envoltar'}
wing	{'centre', 'arrere', 'mig_de_melé', 'obertura', 'mort_la_meitat', 'pilotar', 'taloner', 'centre_fora', 'bastidors', 'gone_again', 'centrecampista', 'vol_dels_ocells', 'roda', 'atac_envolvent', 'tercera_línia_centre', 'planadors', 'central', 'ales', 'maniobra_de_flanc', "flanqueig_cap_a_l'esquerra", 'pilar', 'parafangs', 'segona_línia', 'prop_tighthead', "mig_d'obertura", 'aler', 'entre_bastidors', 'tercera_línia_ala', 'ala_posterior', 'posicions_del_rugbi_a_15', 'atac_envoltant', '3/4_ala', 'roda_també', 'darrere', 'interior_del_centre', 'vol_dels_insectes', 'volar', 'parafang', 'ala', 'flanc', 'tercera_línia_centra', 'de_guàrdia_davant', 'vol_de_les_aus', 'annex', 'wing'}
wipe	{'neteja', 'treure', 'assecar', 'netejar', 'eixugar'}
with	set()
woman	{'harry_styles', 'klaatu', 'dona_de_la_neteja', 'femenina', 'charlady', 'assistenta', 'dona_de_fer_feines', 'dona_de_neteja', 'xiqueta', 'dona', 'al·lota', 'muller', 'neteja_dona', 'nancy_benoit', 'fembra', 'bell_sexe', 'femella', 'femella_adulta', 'femení', 'senyora_de_la_neteja', 'woman', 'dones', 'humana', 'femelles'}
word	{'compromís', 'discussió', 'escriptures_cristianes', 'escriptures', 'redactar', 'debat', 'paraula_de_dades', 'la_bíblia', 'mot', 'bíblia_cristiana', 'noves', 'escriptures_religioses', 'vocable', 'nova', "clau_d'accés", 'word', 'bíbliques', 'mida_de_la_paraula', 'bíblics', 'lógos', 'password', 'bíblies', 'bíblica', 'formació_de_paraules', 'consigna', 'formular', 'contrasenyes', 'sagrades_escriptures', 'escriptura', 'microsoft_word', 'bíblia', 'bíblic', 'ordre', 'llibres_sagrats', 'sant_i_senya', 'word_records', 'text_sagrat', 'contrasenya', 'bon_llibre', 'text_religiós', 'paraula', 'paraules', 'texts_sagrats', 'biblia', "paraula_d'honor", 'santa_bíblia', 'texts_religiosos', 'notícies', 'notícia', 'fills', 'textos_sagrats', 'mot_de_pas', 'textos_religiosos', 'llibre_sagrat', 'fill', 'filla', 'sagrada_escriptura', 'escriptura_sagrada', 'logos'}
worm	{'trenar', 'cuc_informàtic', 'retorçar', 'brutícia_pilota', 'cucs', 'cuc', 'serpejar', 'cuc_marí', 'canalla', 'cargolar-se', 'torçar', 'tòrcer', 'drac_europeu', 'cucs_marins', 'retòrcer', 'worm', 'serpentejar'}
year	{'any_tropical', 'any_tròpic', 'any_mitjà_tropical', 'mes_dotzè', 'any', 'any_equinoccial', 'any_anomalistic', 'any_solar', 'any_astronòmic', 'ma', 'temps_llarg', 'tricenni', 'anys', 'any_gregorià', 'promoció', 'molt_de_temps'}
yellow	{'huang-ho', 'cagat', 'hong_jin-ho', 'yellow', 'gallina', 'eiko_shimamiya', 'ros', 'engroguir', 'huang_he', 'groguejar', 'zebrahead', 'huang-he', 'cabell_ros', 'hoang-ho', 'hwang_ho', 'poruc', 'engroguir-se', 'groga', 'groguenc', 'covard', 'sensacionalista', 'grogós', 'esgrogueir-se', 'riu_groc', 'rosa', 'groc', 'huanghe', 'rossa', 'grogor'}
you	{'no_control', 'fly', 'vosaltres', 'monster', 'amy_lee', 'pablo_honey', 'janne_da_arc', 'the_real_testament', 'tu', 'you'}
